name_item_price,parsing_day,price_withCard,price_withPeriod,price_withoutCard
Боярышник настойка флакон 25мл,2022-12-28,32.0,21.0,32.0
Валаар таблетки 80мг №28,2022-12-28,0,0,0
Валз таблетки 80мг №28,2022-12-28,0,0,0
Валидол с глюкозой таблетки для рассасывания 60мг №20,2022-12-28,0,0,0
Валидол таблетки для рассасывания 60мг №10,2022-12-28,44.0,28.0,44.0
Валидол таблетки для рассасывания 60мг №16,2022-12-28,92.0,64.0,92.0
Валидол таблетки для рассасывания 60мг №20,2022-12-28,103.0,66.0,103.0
Валсартан таблетки 80мг №30,2022-12-28,384.0,250.0,384.0
Верапамил таблетки 40мг №30,2022-12-28,50.0,38.0,50.0
Верошпирон таблетки 25мг №20,2022-12-28,101.0,77.0,101.0
Винпоцетин раствор для инъекций 5мг/мл ампулы 2мл №10,2022-12-28,0,0,0
Винпоцетин таблетки 10мг №30,2022-12-28,0,0,0
Винпоцетин таблетки 5мг №50,2022-12-28,0,0,0
Винпоцетин таблетки 5мг №50,2022-12-28,81.0,62.0,81.0
Гепариновая мазь 25г,2022-12-28,98.0,78.0,98.0
Гепариновая мазь 25г,2022-12-28,0,0,0
Гидрохлортиазид таблетки 25мг №20,2022-12-28,51.0,45.0,51.0
Гинкго билоба таблетки №40,2022-12-28,199.0,199.0,332.0
Гинкоум капсулы 40мг №30,2022-12-28,471.0,326.0,471.0
Глицин таблетки 100мг №150,2022-12-28,0,0,0
Гопантеновая кислота таблетки 250мг №50,2022-12-28,0,0,0
Гопантеновая кислота таблетки 500мг №50,2022-12-28,0,0,0
Детравенол таблетки 1000мг №60,2022-12-28,0,0,0
Детравенол таблетки 500мг №60,2022-12-28,0,0,0
Дигидрокверцетин Витамир таблетки №50,2022-12-28,0,0,0
Дигидрокверцетин Форте таблетки №50,2022-12-28,0,0,0
Докси-Хем капсулы 500мг №90,2022-12-28,1067.0,755.0,1067.0
Дузофарм таблетки 50мг №30,2022-12-28,0,0,0
Дузофарм таблетки 50мг №90,2022-12-28,1164.0,845.0,1164.0
Индапамид таблетки 2.5мг №30,2022-12-28,27.0,25.0,27.0
Индапамид таблетки 2.5мг №50,2022-12-28,0,0,0
"Индапамид-Тева таблетки 2,5мг №30",2022-12-28,110.0,84.0,110.0
Иплерон таблетки 25мг №30,2022-12-28,0,0,0
Кавинтон комфорте таблетки диспергируемые 10мг №90,2022-12-28,0,0,0
Каптоприл таблетки 50мг №20,2022-12-28,35.0,27.0,35.0
Карведилол таблетки 12.5мг №30,2022-12-28,0,0,0
Кардиолип таблетки 5мг №30,2022-12-28,0,0,0
Ко-диован таблетки 160мг+12.5мг №28,2022-12-28,0,0,0
"Ко-диован таблетки 80мг+12,5мг №28",2022-12-28,0,0,0
"Ко-Периндоприл таблетки 0,625мг+2мг №30",2022-12-28,0,0,0
Ко-Периндоприл таблетки 1.25мг+4мг №90,2022-12-28,0,0,0
Корвалол капли для приема внутрь фл. 25мл,2022-12-28,58.0,36.0,58.0
Корвалол капли для приема внутрь фл. 25мл,2022-12-28,139.0,90.0,139.0
Корвалол капли для приема внутрь фл. 25мл Марбиофарм,2022-12-28,0,0,0
Корвалол форте таблетки №30,2022-12-28,0,0,0
Кордипин XL таблетки 40мг №20,2022-12-28,147.0,109.0,147.0
Коринфар ретард таблетки 20мг №30,2022-12-28,110.0,85.0,110.0
Крестор таблетки 40мг №28,2022-12-28,6734.0,4143.0,6734.0
Левокарнил таблетки 500мг №30,2022-12-28,0,0,0
Лизиноприл таблетки 10мг №30,2022-12-28,219.0,165.0,219.0
Лизиноприл таблетки 10мг №30,2022-12-28,131.0,105.0,131.0
Лизиноприл таблетки 5мг №30,2022-12-28,64.0,47.0,64.0
Лизиноприл таблетки 5мг №30,2022-12-28,54.0,37.0,54.0
Лизиноприл таблетки 5мг №30,2022-12-28,131.0,98.0,131.0
Лизинотон таблетки 10мг №28,2022-12-28,0,0,0
Лориста НД таблетки 100мг+25мг №60,2022-12-28,0,0,0
Масло льняное капсулы 300мг №100,2022-12-28,0,0,0
Мексикор капсулы 100мг №60,2022-12-28,389.0,294.0,389.0
Мексиприм раствор для инъекций 50мг/мл ампулы 2мл №10,2022-12-28,418.0,279.0,418.0
Мексиприм раствор для инъекций 50мг/мл ампулы 5мл №5,2022-12-28,409.0,270.0,409.0
МексЭллара раствор для инъекций 50мг/мл ампулы 2 мл №10,2022-12-28,0,0,0
Мельдоний раствор для инъекций 100мг/мл ампулы 5мл №10,2022-12-28,173.0,121.0,173.0
Метопролол таблетки 100мг №30,2022-12-28,0,0,0
Метопролол таблетки 100мг №50,2022-12-28,0,0,0
Метопролол таблетки 50мг №30,2022-12-28,0,0,0
Милдронат капсулы 250мг №40,2022-12-28,796.0,551.0,796.0
Милдронат капсулы 500мг №60,2022-12-28,1212.0,838.0,1212.0
Милдронат раствор для инъекций 100мг/мл ампулы 5мл №10,2022-12-28,400.0,256.0,400.0
Милдронат раствор для инъекций 100мг/мл ампулы 5мл №20,2022-12-28,715.0,553.0,715.0
"Моксонидин таблетки 0,2мг №28",2022-12-28,178.0,131.0,178.0
Нанотропил ново таблетки 50мг №30,2022-12-28,0,0,0
Небиволол таблетки 5мг №14,2022-12-28,0,0,0
Небиволол таблетки 5мг №28,2022-12-28,402.0,335.0,402.0
Нейпилепт раствор 125мг/мл ампулы 4мл №5,2022-12-28,0,0,0
Нейпилепт раствор 250мг/мл ампулы 4мл №5,2022-12-28,0,0,0
Нитроглицерин таблетки 0.5мг №40,2022-12-28,66.0,51.0,66.0
Ницерголин лиофилизат для инъекций 4мг ампулы 5мл №5+растворитель,2022-12-28,1233.0,873.0,1233.0
Нооцил раствор для приема внутрь 100мг/мл флакон 10мл №10,2022-12-28,0,0,0
Нооцил раствор для приема внутрь 100мг/мл флакон 240мл,2022-12-28,0,0,0
Нэйчес Баунти/Nature's Bounty L-Аргинин таблетки 1000мг №50,2022-12-28,0,0,0
Нэйчес Баунти/Nature's Bounty Коэнзим Q-10 с L-карнитином капсулы №60,2022-12-28,0,0,0
Нэйчес Баунти/Nature's Bounty Масло криля капсулы 500мг №30,2022-12-28,0,0,0
Ордисс таблетки 32мг №30,2022-12-28,0,0,0
Отрио таблетки 10мг №90,2022-12-28,0,0,0
"Периндоприл Плюс индапамид таблетки 1,25мг+4мг №30",2022-12-28,0,0,0
"Периндоприл Плюс индапамид таблетки 2,5мг+8мг №30",2022-12-28,0,0,0
Пирацетам таблетки 400мг №60,2022-12-28,0,0,0
Пирацетам таблетки 800мг №30,2022-12-28,104.0,77.0,104.0
Пирацетам таблетки 800мг №30,2022-12-28,0,0,0
Рибоксин раствор для инъекций 2% ампулы 10мл №10,2022-12-28,0,0,0
Рибоксин раствор для инъекций 2% ампулы 5мл №10,2022-12-28,0,0,0
Розарт таблетки 40мг №30,2022-12-28,0,0,0
Розарт таблетки 5мг №30,2022-12-28,0,0,0
Розувастатин таблетки 10мг №30,2022-12-28,0,0,0
Розувастатин таблетки 10мг №30,2022-12-28,342.0,236.0,342.0
Розувастатин таблетки 20мг №30,2022-12-28,418.0,314.0,418.0
Ро-статин таблетки 20мг №30,2022-12-28,0,0,0
Рэнезин таблетки 1000мг №30,2022-12-28,0,0,0
Сапплимент Коэнзим Q10 таблетки №30,2022-12-28,0,0,0
Симвастатин таблетки 10мг №30,2022-12-28,0,0,0
Мукосат раствор для инъекций 100мг/мл ампулы 2мл №10,2022-12-28,1807.0,1139.0,1807.0
Ибупрофен капсулы 200мг №20,2022-12-28,202.0,156.0,202.0
Мелоксикам таблетки 15мг №10,2022-12-28,276.0,230.0,276.0
"Кетопрофен-Вертекс гель 2,5% 50г",2022-12-28,246.0,205.0,246.0
Ксефокам рапид таблетки 8мг №12,2022-12-28,578.0,352.0,578.0
Мукосат раствор для инъекций 100мг/мл ампулы 1мл №10,2022-12-28,1112.0,695.0,1112.0
Апизартрон мазь 20г,2022-12-28,495.0,315.0,495.0
Фитобальзам разогревающий 30мл,2022-12-28,188.0,158.0,188.0
Артра таблетки №120,2022-12-28,3602.0,2449.0,3602.0
Артраксикам крем 30г,2022-12-28,459.0,284.0,459.0
Индометацин суппозитории ректальные 50мг №10,2022-12-28,107.0,85.0,107.0
Мелоксикам таблетки 15мг №20,2022-12-28,143.0,114.0,143.0
Септолете Тотал таблетки №16,2022-12-28,265.0,265.0,408.0
Колдрекс МаксГрипп порошок для приготовления раствора для приема внутрь Лимон пакетики №10,2022-12-28,776.0,646.0,776.0
Папаверина гидрохлорид р-р 2% амп. 2мл №10,2022-12-28,111.0,88.0,111.0
Этария таблетки 90мг №7,2022-12-28,405.0,310.0,405.0
Пластырь Монастырский разогревающий 2шт,2022-12-28,125.0,96.0,125.0
"Дискус композитум раствор для инъекций ампулы 2,2мл №5",2022-12-28,2090.0,1559.0,2090.0
Ацеклофенак таблетки 100мг №60,2022-12-28,624.0,517.0,624.0
Эторелекс таблетки 30мг №28,2022-12-28,500.0,390.0,500.0
Велдексал таблетки 25мг №10,2022-12-28,399.0,272.0,399.0
Этария таблетки 60мг №28,2022-12-28,772.0,643.0,772.0
Бальзам на основе эфирных масел в сезон простуд 4г,2022-12-28,142.0,118.0,142.0
Мукосат капсулы №80,2022-12-28,1983.0,1479.0,1983.0
