count_index,name_item_price,parsing_day,price_withCard,price_withPeriod,price_withoutCard
1_2022-12-28,Боярышник настойка флакон 25мл,2022-12-28,32.0,21.0,32.0
2_2022-12-28,Валаар таблетки 80мг №28,2022-12-28,0,0,0
3_2022-12-28,Валз таблетки 80мг №28,2022-12-28,0,0,0
4_2022-12-28,Валидол с глюкозой таблетки для рассасывания 60мг №20,2022-12-28,0,0,0
5_2022-12-28,Валидол таблетки для рассасывания 60мг №10,2022-12-28,44.0,28.0,44.0
6_2022-12-28,Валидол таблетки для рассасывания 60мг №16,2022-12-28,92.0,64.0,92.0
7_2022-12-28,Валидол таблетки для рассасывания 60мг №20,2022-12-28,103.0,66.0,103.0
8_2022-12-28,Валсартан таблетки 80мг №30,2022-12-28,384.0,250.0,384.0
9_2022-12-28,Верапамил таблетки 40мг №30,2022-12-28,50.0,38.0,50.0
10_2022-12-28,Верошпирон таблетки 25мг №20,2022-12-28,101.0,77.0,101.0
11_2022-12-28,Винпоцетин раствор для инъекций 5мг/мл ампулы 2мл №10,2022-12-28,0,0,0
12_2022-12-28,Винпоцетин таблетки 10мг №30,2022-12-28,0,0,0
13_2022-12-28,Винпоцетин таблетки 5мг №50,2022-12-28,0,0,0
14_2022-12-28,Винпоцетин таблетки 5мг №50,2022-12-28,81.0,62.0,81.0
15_2022-12-28,Гепариновая мазь 25г,2022-12-28,98.0,78.0,98.0
16_2022-12-28,Гепариновая мазь 25г,2022-12-28,0,0,0
17_2022-12-28,Гидрохлортиазид таблетки 25мг №20,2022-12-28,51.0,45.0,51.0
18_2022-12-28,Гинкго билоба таблетки №40,2022-12-28,199.0,199.0,332.0
19_2022-12-28,Гинкоум капсулы 40мг №30,2022-12-28,471.0,326.0,471.0
20_2022-12-28,Глицин таблетки 100мг №150,2022-12-28,0,0,0
21_2022-12-28,Гопантеновая кислота таблетки 250мг №50,2022-12-28,0,0,0
22_2022-12-28,Гопантеновая кислота таблетки 500мг №50,2022-12-28,0,0,0
23_2022-12-28,Детравенол таблетки 1000мг №60,2022-12-28,0,0,0
24_2022-12-28,Детравенол таблетки 500мг №60,2022-12-28,0,0,0
25_2022-12-28,Дигидрокверцетин Витамир таблетки №50,2022-12-28,0,0,0
26_2022-12-28,Дигидрокверцетин Форте таблетки №50,2022-12-28,0,0,0
27_2022-12-28,Докси-Хем капсулы 500мг №90,2022-12-28,1067.0,755.0,1067.0
28_2022-12-28,Дузофарм таблетки 50мг №30,2022-12-28,0,0,0
29_2022-12-28,Дузофарм таблетки 50мг №90,2022-12-28,1164.0,845.0,1164.0
30_2022-12-28,Индапамид таблетки 2.5мг №30,2022-12-28,27.0,25.0,27.0
31_2022-12-28,Индапамид таблетки 2.5мг №50,2022-12-28,0,0,0
32_2022-12-28,"Индапамид-Тева таблетки 2,5мг №30",2022-12-28,110.0,84.0,110.0
33_2022-12-28,Иплерон таблетки 25мг №30,2022-12-28,0,0,0
34_2022-12-28,Кавинтон комфорте таблетки диспергируемые 10мг №90,2022-12-28,0,0,0
35_2022-12-28,Каптоприл таблетки 50мг №20,2022-12-28,35.0,27.0,35.0
36_2022-12-28,Карведилол таблетки 12.5мг №30,2022-12-28,0,0,0
37_2022-12-28,Кардиолип таблетки 5мг №30,2022-12-28,0,0,0
38_2022-12-28,Ко-диован таблетки 160мг+12.5мг №28,2022-12-28,0,0,0
39_2022-12-28,"Ко-диован таблетки 80мг+12,5мг №28",2022-12-28,0,0,0
40_2022-12-28,"Ко-Периндоприл таблетки 0,625мг+2мг №30",2022-12-28,0,0,0
41_2022-12-28,Ко-Периндоприл таблетки 1.25мг+4мг №90,2022-12-28,0,0,0
42_2022-12-28,Корвалол капли для приема внутрь фл. 25мл,2022-12-28,58.0,36.0,58.0
43_2022-12-28,Корвалол капли для приема внутрь фл. 25мл,2022-12-28,139.0,90.0,139.0
44_2022-12-28,Корвалол капли для приема внутрь фл. 25мл Марбиофарм,2022-12-28,0,0,0
45_2022-12-28,Корвалол форте таблетки №30,2022-12-28,0,0,0
46_2022-12-28,Кордипин XL таблетки 40мг №20,2022-12-28,147.0,109.0,147.0
47_2022-12-28,Коринфар ретард таблетки 20мг №30,2022-12-28,110.0,85.0,110.0
48_2022-12-28,Крестор таблетки 40мг №28,2022-12-28,6734.0,4143.0,6734.0
49_2022-12-28,Левокарнил таблетки 500мг №30,2022-12-28,0,0,0
50_2022-12-28,Лизиноприл таблетки 10мг №30,2022-12-28,219.0,165.0,219.0
51_2022-12-28,Лизиноприл таблетки 10мг №30,2022-12-28,131.0,105.0,131.0
52_2022-12-28,Лизиноприл таблетки 5мг №30,2022-12-28,64.0,47.0,64.0
53_2022-12-28,Лизиноприл таблетки 5мг №30,2022-12-28,54.0,37.0,54.0
54_2022-12-28,Лизиноприл таблетки 5мг №30,2022-12-28,131.0,98.0,131.0
55_2022-12-28,Лизинотон таблетки 10мг №28,2022-12-28,0,0,0
56_2022-12-28,Лориста НД таблетки 100мг+25мг №60,2022-12-28,0,0,0
57_2022-12-28,Масло льняное капсулы 300мг №100,2022-12-28,0,0,0
58_2022-12-28,Мексикор капсулы 100мг №60,2022-12-28,389.0,294.0,389.0
59_2022-12-28,Мексиприм раствор для инъекций 50мг/мл ампулы 2мл №10,2022-12-28,418.0,279.0,418.0
60_2022-12-28,Мексиприм раствор для инъекций 50мг/мл ампулы 5мл №5,2022-12-28,409.0,270.0,409.0
61_2022-12-28,МексЭллара раствор для инъекций 50мг/мл ампулы 2 мл №10,2022-12-28,0,0,0
62_2022-12-28,Мельдоний раствор для инъекций 100мг/мл ампулы 5мл №10,2022-12-28,173.0,121.0,173.0
63_2022-12-28,Метопролол таблетки 100мг №30,2022-12-28,0,0,0
64_2022-12-28,Метопролол таблетки 100мг №50,2022-12-28,0,0,0
65_2022-12-28,Метопролол таблетки 50мг №30,2022-12-28,0,0,0
66_2022-12-28,Милдронат капсулы 250мг №40,2022-12-28,796.0,551.0,796.0
67_2022-12-28,Милдронат капсулы 500мг №60,2022-12-28,1212.0,838.0,1212.0
68_2022-12-28,Милдронат раствор для инъекций 100мг/мл ампулы 5мл №10,2022-12-28,400.0,256.0,400.0
69_2022-12-28,Милдронат раствор для инъекций 100мг/мл ампулы 5мл №20,2022-12-28,715.0,553.0,715.0
70_2022-12-28,"Моксонидин таблетки 0,2мг №28",2022-12-28,178.0,131.0,178.0
71_2022-12-28,Нанотропил ново таблетки 50мг №30,2022-12-28,0,0,0
72_2022-12-28,Небиволол таблетки 5мг №14,2022-12-28,0,0,0
73_2022-12-28,Небиволол таблетки 5мг №28,2022-12-28,402.0,335.0,402.0
74_2022-12-28,Нейпилепт раствор 125мг/мл ампулы 4мл №5,2022-12-28,0,0,0
75_2022-12-28,Нейпилепт раствор 250мг/мл ампулы 4мл №5,2022-12-28,0,0,0
76_2022-12-28,Нитроглицерин таблетки 0.5мг №40,2022-12-28,66.0,51.0,66.0
77_2022-12-28,Ницерголин лиофилизат для инъекций 4мг ампулы 5мл №5+растворитель,2022-12-28,1233.0,873.0,1233.0
78_2022-12-28,Нооцил раствор для приема внутрь 100мг/мл флакон 10мл №10,2022-12-28,0,0,0
79_2022-12-28,Нооцил раствор для приема внутрь 100мг/мл флакон 240мл,2022-12-28,0,0,0
80_2022-12-28,Нэйчес Баунти/Nature's Bounty L-Аргинин таблетки 1000мг №50,2022-12-28,0,0,0
81_2022-12-28,Нэйчес Баунти/Nature's Bounty Коэнзим Q-10 с L-карнитином капсулы №60,2022-12-28,0,0,0
82_2022-12-28,Нэйчес Баунти/Nature's Bounty Масло криля капсулы 500мг №30,2022-12-28,0,0,0
