name_item_prop,parsing_day,Нозология,Действующее вещество,Группа товара,Бренд,Производитель,Страна,Форма выпуска,Рецепт,Условия хранения,"Действующее вещество, сборное название","Состав, вес (кратко)",Фармакотерапевтическая группа
Боярышник настойка флакон 25мл,2022-12-28,"['Соматоформная дисфункция вегетативной нервной системы', 'Боль в области сердца']",['Боярышник плоды'],[],['Боярышник настойка'],"['ОАО ""Ивановская ФФ""']",['Россия'],['Настойка'],['Без рецепта'],['8-25 С'],['Боярышник плоды'],['Отсутствует'],['Прочие средства в кардиологии']
Валаар таблетки 80мг №28,2022-12-28,"['Эссенциальная [первичная] гипертензия', 'Застойная сердечная недостаточность']",['Валсартан'],[],['Валсартан'],"['ЗАО ФП ""Оболенское""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Валсартан'],['80мг'],['Средства снижающие давление']
Валз таблетки 80мг №28,2022-12-28,"['Эссенциальная [первичная] гипертензия', 'Острый инфаркт миокарда', 'Застойная сердечная недостаточность']",['Валсартан'],[],['Валз'],['Actavis Group/Актавис'],['Мальта'],['Таблетки'],['Рецептурный'],['Не выше 30 С'],['Валсартан'],['80мг'],['Средства снижающие давление']
Валидол с глюкозой таблетки для рассасывания 60мг №20,2022-12-28,"['Неврастения', 'Невротическое расстройство неуточненное', 'Боль в области сердца', 'Укачивание при движении']","['Глюкоза', 'Раствора ментола в ментиловом эфире кислоты изовалериановой']",[],['Валидол с глюкозой'],"['ЗАО ""ПФК Обновление""']",['Россия'],['Таблетки для рассасывания'],['Без рецепта'],['Не выше 25 С'],['Раствора ментола в ментиловом эфире кислоты изовалериановой+Глюкоза'],['60мг+188мг'],['Прочие средства в кардиологии']
Валидол таблетки для рассасывания 60мг №10,2022-12-28,"['Неврастения', 'Головная боль', 'Соматоформная дисфункция вегетативной нервной системы', 'Нарушения вестибулярной функции', 'Стенокардия [грудная жаба]']",['Раствора ментола в ментиловом эфире кислоты изовалериановой'],[],['Валидол таблетки'],"['ОАО ""Марбиофарм""']",['Россия'],['Таблетки для рассасывания'],['Без рецепта'],['Не выше 25 С'],['Раствора ментола в ментиловом эфире кислоты изовалериановой'],['60мг'],['Прочие средства в кардиологии']
Валидол таблетки для рассасывания 60мг №16,2022-12-28,"['Неврастения', 'Невротическое расстройство неуточненное', 'Боль в области сердца', 'Укачивание при движении']",['Раствора ментола в ментиловом эфире кислоты изовалериановой'],[],['Валидол таблетки'],"['ЗАО ""ПФК Обновление""']",['Россия'],['Таблетки для рассасывания'],['Без рецепта'],['Не выше 25 С'],['Раствора ментола в ментиловом эфире кислоты изовалериановой'],['60мг'],['Прочие средства в кардиологии']
Валидол таблетки для рассасывания 60мг №20,2022-12-28,[],['Раствора ментола в ментиловом эфире кислоты изовалериановой'],[],['Валидол таблетки'],"['ОАО ""Ирбитский ХФЗ""']",['Россия'],['Таблетки для рассасывания'],['Без рецепта'],['Не выше 25 С'],['Раствора ментола в ментиловом эфире кислоты изовалериановой'],['60мг'],['Прочие средства в кардиологии']
Валсартан таблетки 80мг №30,2022-12-28,"['Эссенциальная [первичная] гипертензия', 'Застойная сердечная недостаточность']",['Валсартан'],[],['Валсартан'],"['ООО ""Озон""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Валсартан'],['80мг'],['Средства снижающие давление']
Верапамил таблетки 40мг №30,2022-12-28,[],['Верапамил'],[],['Верапамил'],['Alkaloid/ Алкалоид'],['Македония'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Верапамил'],['40мг'],['Средства снижающие давление']
Верошпирон таблетки 25мг №20,2022-12-28,"['Хроническая почечная недостаточность', 'Болезнь Паркинсона', 'Гипокалиемия', 'Гиперальдостеронизм', 'Недостаточность магния']",['Спиронолактон'],[],['Верошпирон'],['Gedeon Richter/ Гедеон Рихтер'],['Венгрия'],['Таблетки'],['Рецептурный'],['Не выше 30 С'],['Спиронолактон'],['25мг'],['Мочегонные средства (Диуретики)']
