count_index,name_item_prop,parsing_day,Нозология,Действующее вещество,Группа товара,Бренд,Производитель,Страна,Форма выпуска,Рецепт,Условия хранения,"Действующее вещество, сборное название","Состав, вес (кратко)",Фармакотерапевтическая группа,nosology_1,nosology_2,nosology_3,nosology_4,nosology_5,active_ingredient_1,active_ingredient_2,active_ingredient_3,active_ingredient_4,active_ingredient_5,active_ingredient_6,active_ingredient_7,active_ingredient_8,active_ingredient_9,active_ingredient_10,active_ingredient_11,active_ingredient_12,product_group_1,product_group_2,product_group_3,product_group_4,product_group_5,product_group_6,product_group_7,product_group_8,product_group_9,product_group_10,product_group_11,product_group_12,product_group_13
1_2022-12-28,Боярышник настойка флакон 25мл,2022-12-28,"['Соматоформная дисфункция вегетативной нервной системы', 'Боль в области сердца']",['Боярышник плоды'],[],['Боярышник настойка'],"['ОАО ""Ивановская ФФ""']",['Россия'],['Настойка'],['Без рецепта'],['8-25 С'],['Боярышник плоды'],['Отсутствует'],['Прочие средства в кардиологии'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_2022-12-28,Валаар таблетки 80мг №28,2022-12-28,"['Эссенциальная [первичная] гипертензия', 'Застойная сердечная недостаточность']",['Валсартан'],[],['Валсартан'],"['ЗАО ФП ""Оболенское""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Валсартан'],['80мг'],['Средства снижающие давление'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_2022-12-28,Валз таблетки 80мг №28,2022-12-28,"['Эссенциальная [первичная] гипертензия', 'Острый инфаркт миокарда', 'Застойная сердечная недостаточность']",['Валсартан'],[],['Валз'],['Actavis Group/Актавис'],['Мальта'],['Таблетки'],['Рецептурный'],['Не выше 30 С'],['Валсартан'],['80мг'],['Средства снижающие давление'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_2022-12-28,Валидол с глюкозой таблетки для рассасывания 60мг №20,2022-12-28,"['Неврастения', 'Невротическое расстройство неуточненное', 'Боль в области сердца', 'Укачивание при движении']","['Глюкоза', 'Раствора ментола в ментиловом эфире кислоты изовалериановой']",[],['Валидол с глюкозой'],"['ЗАО ""ПФК Обновление""']",['Россия'],['Таблетки для рассасывания'],['Без рецепта'],['Не выше 25 С'],['Раствора ментола в ментиловом эфире кислоты изовалериановой+Глюкоза'],['60мг+188мг'],['Прочие средства в кардиологии'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5_2022-12-28,Валидол таблетки для рассасывания 60мг №10,2022-12-28,"['Неврастения', 'Головная боль', 'Соматоформная дисфункция вегетативной нервной системы', 'Нарушения вестибулярной функции', 'Стенокардия [грудная жаба]']",['Раствора ментола в ментиловом эфире кислоты изовалериановой'],[],['Валидол таблетки'],"['ОАО ""Марбиофарм""']",['Россия'],['Таблетки для рассасывания'],['Без рецепта'],['Не выше 25 С'],['Раствора ментола в ментиловом эфире кислоты изовалериановой'],['60мг'],['Прочие средства в кардиологии'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_2022-12-28,Валидол таблетки для рассасывания 60мг №16,2022-12-28,"['Неврастения', 'Невротическое расстройство неуточненное', 'Боль в области сердца', 'Укачивание при движении']",['Раствора ментола в ментиловом эфире кислоты изовалериановой'],[],['Валидол таблетки'],"['ЗАО ""ПФК Обновление""']",['Россия'],['Таблетки для рассасывания'],['Без рецепта'],['Не выше 25 С'],['Раствора ментола в ментиловом эфире кислоты изовалериановой'],['60мг'],['Прочие средства в кардиологии'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_2022-12-28,Валидол таблетки для рассасывания 60мг №20,2022-12-28,[],['Раствора ментола в ментиловом эфире кислоты изовалериановой'],[],['Валидол таблетки'],"['ОАО ""Ирбитский ХФЗ""']",['Россия'],['Таблетки для рассасывания'],['Без рецепта'],['Не выше 25 С'],['Раствора ментола в ментиловом эфире кислоты изовалериановой'],['60мг'],['Прочие средства в кардиологии'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_2022-12-28,Валсартан таблетки 80мг №30,2022-12-28,"['Эссенциальная [первичная] гипертензия', 'Застойная сердечная недостаточность']",['Валсартан'],[],['Валсартан'],"['ООО ""Озон""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Валсартан'],['80мг'],['Средства снижающие давление'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_2022-12-28,Верапамил таблетки 40мг №30,2022-12-28,[],['Верапамил'],[],['Верапамил'],['Alkaloid/ Алкалоид'],['Македония'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Верапамил'],['40мг'],['Средства снижающие давление'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_2022-12-28,Верошпирон таблетки 25мг №20,2022-12-28,"['Хроническая почечная недостаточность', 'Болезнь Паркинсона', 'Гипокалиемия', 'Гиперальдостеронизм', 'Недостаточность магния']",['Спиронолактон'],[],['Верошпирон'],['Gedeon Richter/ Гедеон Рихтер'],['Венгрия'],['Таблетки'],['Рецептурный'],['Не выше 30 С'],['Спиронолактон'],['25мг'],['Мочегонные средства (Диуретики)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
