count_index,name_item_prop,parsing_day,Нозология,Действующее вещество,Группа товара,Бренд,Производитель,Страна,Форма выпуска,Рецепт,Условия хранения,"Действующее вещество, сборное название","Состав, вес (кратко)",Фармакотерапевтическая группа,Количество в упаковке,Other,nosology_1,nosology_2,nosology_3,nosology_4,nosology_5,active_ingredient_1,active_ingredient_2,active_ingredient_3,active_ingredient_4,active_ingredient_5,active_ingredient_6,active_ingredient_7,active_ingredient_8,active_ingredient_9,active_ingredient_10,active_ingredient_11,product_group_1,product_group_2,product_group_3,product_group_4,product_group_5,product_group_6,product_group_7,product_group_8,product_group_9,product_group_10,product_group_11,product_group_12,product_group_13,product_group_14,product_group_15,product_group_16,product_group_17,product_group_18,product_group_19,product_group_20,product_group_21,product_group_22
1_2023-05-07,Лизиноприл таблетки 5мг №30,2023-05-07,[],['Лизиноприл'],"['Диротон', 'Ирумед', 'Лизинотон', 'Лизигамма', 'Лизипрекс']",['Лизиноприл'],"['ОАО ЗМП ""Борисовский""']",['Беларусь'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Лизиноприл'],['5мг'],['Средства снижающие давление'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_2023-05-07,Лизиноприл таблетки 5мг №30,2023-05-07,"['Эссенциальная [первичная] гипертензия', 'Острый инфаркт миокарда', 'Застойная сердечная недостаточность', 'Гломерулярные поражения при сахарном диабете (E10-E14+ с общим четвертым знаком .2)']",['Лизиноприл'],"['Диротон', 'Ирумед', 'Лизинотон', 'Лизигамма', 'Лизипрекс']",['Лизиноприл'],['Teva Pharm. Industries/ Тева Фарм. Предприятие'],['Израиль'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Лизиноприл'],['5мг'],['Средства снижающие давление'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_2023-05-07,Велкардио таблетки 25мг №30,2023-05-07,"['Эссенциальная [первичная] гипертензия', 'Стенокардия [грудная жаба]', 'Застойная сердечная недостаточность']",['Карведилол'],"['Акридилол', 'Дилатренд', 'Карведигамма']",['Велкардио'],"['ООО ""Велфарм""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Карведилол'],['25мг'],['Средства снижающие давление'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_2023-05-07,Метопролол таблетки 50мг №30,2023-05-07,"['Мигрень', 'Эссенциальная [первичная] гипертензия', 'Стенокардия [грудная жаба]', 'Острый инфаркт миокарда', 'Наджелудочковая тахикардия']",['Метопролол'],"['Беталок', 'Вазокардин', 'Метокард', 'Эгилок']",['Метопролол'],['Teva Pharm. Industries/ Тева Фарм. Предприятие'],['Германия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Метопролол'],['50мг'],['Средства снижающие давление'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5_2023-05-07,Лизинотон таблетки 10мг №28,2023-05-07,"['Эссенциальная [первичная] гипертензия', 'Острый инфаркт миокарда', 'Застойная сердечная недостаточность']",['Лизиноприл'],[],['Лизинотон'],['Actavis Group/Актавис'],['Исландия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Лизиноприл'],['10мг'],['Средства снижающие давление'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_2023-05-07,"Эдарби Кло таблетки 40мг+12,5мг №98",2023-05-07,['Эссенциальная [первичная] гипертензия'],"['Азилсартана медоксомил', 'Хлорталидон']",[],['Эдарби кло'],"['ООО ""Такеда Фармасьютикалс""']",['Ирландия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Азилсартана медоксомил+Хлорталидон'],['40мг+12.5мг'],['Средства снижающие давление'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_2023-05-07,Небилет таблетки 5мг №28,2023-05-07,"['Эссенциальная [первичная] гипертензия', 'Стенокардия [грудная жаба]', 'Застойная сердечная недостаточность']",['Небиволол'],[],['Небилет'],['Berlin-Chemie AG/ Берлин-Хеми '],['Германия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Небиволол'],['5мг'],['Средства снижающие давление'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_2023-05-07,Валз таблетки 160мг №28,2023-05-07,"['Эссенциальная [первичная] гипертензия', 'Вторичная гипертензия']",['Валсартан'],[],['Валз'],['Balkanpharma Dupnitza/ Балканфарма Дупница'],['Болгария'],['Таблетки'],['Рецептурный'],['Не выше 30 С'],['Валсартан'],['160мг'],['Средства снижающие давление'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_2023-05-07,Амлодипин таблетки 5мг №30,2023-05-07,"['Эссенциальная [первичная] гипертензия', 'Стенокардия [грудная жаба]', 'Нестабильная стенокардия', 'Стенокардия с документально подтвержденным спазмом']",['Амлодипин'],[],['Амлодипин'],"['ООО ""Р-Фарм Новосёлки""']",['Россия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Амлодипин'],['5мг'],['Средства снижающие давление'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_2023-05-07,Бисопролол таблетки 5мг №30,2023-05-07,"['Эссенциальная [первичная] гипертензия', 'Стенокардия [грудная жаба]', 'Застойная сердечная недостаточность']",['Бисопролол'],"['Арител', 'Биол', 'Конкор', 'Бипрол', 'Кординорм', 'Коронал', 'Нипертен', 'Бисогамма']",['Бисопролол'],['Teva Pharmaceutical Works Private/Тева Фармасьютикал Воркс Прайвэт Лимитед Компани'],['Венгрия'],['Таблетки'],['Рецептурный'],['Не выше 25 С'],['Бисопролол'],['5мг'],['Средства снижающие давление'],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
