count_fuzzy,a_sort,a_set,a_Wratio,name_apr,name_zdor,manuracturer_apr,manuracturer_zdor
4,79,82,78,Фамотидин таб. п.п.о. 40мг №20_Озон,Фамотидин таблетки 20мг №20_Озон,Озон,Озон
4,83,85,81,Фамотидин таб. п.п.о. 40мг №20_Озон,Фамотидин таблетки 40мг №20_Озон,Озон,Озон
5,70,82,78,Фамотидин таб. п.п.о. 20мг №30_Озон,Фамотидин таблетки 20мг №20_Озон,Озон,Озон
6,83,85,81,Фамотидин таб. п.п.о. 20мг №20_Озон,Фамотидин таблетки 20мг №20_Озон,Озон,Озон
6,79,82,78,Фамотидин таб. п.п.о. 20мг №20_Озон,Фамотидин таблетки 40мг №20_Озон,Озон,Озон
7,95,95,94,Урсосан капс. 250мг №10_Про.Мед.,Урсосан капсулы 250мг №10_Про.Мед.,Про.Мед.,Про.Мед.
7,72,92,91,Урсосан капс. 250мг №10_Про.Мед.,Урсосан капсулы 250мг №50_Про.Мед.,Про.Мед.,Про.Мед.
7,94,94,92,Урсосан капс. 250мг №10_Про.Мед.,Урсосан капсулы 250мг №100_Про.Мед.,Про.Мед.,Про.Мед.
10,95,95,94,Ланцид капс. 30мг №30_Микро Лабс,Ланцид капсулы 30мг №30_Микро Лабс,Микро Лабс,Микро Лабс
10,79,89,88,Ланцид капс. 30мг №30_Микро Лабс,Ланцид капсулы 15мг №30_Микро Лабс,Микро Лабс,Микро Лабс
