ООО "Озон"; Озон
KRKA d.d./ КРКА; КРКА
ООО "Пранафарм"; Пранафарм
АО «ВЕРТЕКС»; ВЕРТЕКС
ООО "Велфарм"; Велфарм
ЗАО "ПФК Обновление"; Обновление
ОАО "Фармстандарт-Лексредства"; Фармстандарт Лексредства
Reckitt Benckiser Healthcare/ Рекитт Бенкизер; Рекитт Бенкизер
Gedeon Richter/ Гедеон Рихтер; Гедеон Рихтер
АО "Акрихин ХФК"; Акрихин ХФК
Novartis Pharma AG/ Новартис Фарма; Новартис Фарма
ЗАО ФП "Оболенское"; Оболенское
ОАО "Верофарм"; Верофарм
Egis Pharmaceuticals/ Эгис; Эгис
Sanofi Aventis Pharma/ Санофи Авентис; Санофи Авентис
Berlin-Chemie AG/ Берлин-Хеми ; Берлин Хеми
Servier Ind. Ltd./ Serdix/ Сервье/ Сердикс; Сервье Сердикс
ЗАО "Северная Звезда"; Северная Звезда
Dr. Reddys Lab./ Доктор Реддис Лаб.; Доктор Реддис Лаб
Zentiva/ Зентива; Зентива
ЗАО "Алси Фарма"; Алси Фарма
АО "Биохимик"; Биохимик
ОАО "Татхимфармпрепараты"; Татхимфармпрепараты
ОАО "Нижфарм"; Нижфарм
Valenta/ Валента Фармацевтика; Валента Фармацевтика
Jadran Galenski Laboratoriej d.d/ Ядран Галенски Лабораторий; Ядран Галенски Лабораторий
ООО "Изварино Фарма"; Изварино Фарма
АО "Медисорб"; Медисорб
АО "Алиум"; Алиум
ООО "Тульская ФФ"; Тульская ФФ
Balkanpharma Dupnitza/ Балканфарма Дупница; Балканфарма Дупница
ООО "Южфарм"; Южфарм
Teva Pharmaceutical Works Private/Тева Фармасьютикал Воркс Прайвэт Лимитед Компани; Тева Фармасьютикал Воркс Прайвэт Лимитед Компани
Lab.Liconsa/Ликонса Лаб.; Ликонса Лаб
Abbott Laboratories GmbH/Эббот Лэбораториз ГмбХ; Эббот Лэбораториз ГмбХ
Boehringer Ingelheim GmbH/ Берингер Ингельхайм; Берингер Ингельхайм
ОАО "Уралбиофарм"; Уралбиофарм
ПАО "Биосинтез"; Биосинтез
Lek d.d./ Лек; Лек
ОАО "Флора Кавказа"; Флора Кавказа
ООО "Мирролла"; Мирролла
ОАО "Дальхимфарм"; Дальхимфарм
ЗАО "Алтайвитамины"; Алтайвитамины
Merck KGaA & Co/ Мерк КГаА энд Ко; Мерк КГаА энд Ко
ООО "Гротекс"; Гротекс
Balkanpharma Troyan AD/Балканфарма-Троян АД; Балканфарма Троян АД
Biologische Heilmittel Heel GmbH/ Хеель; Хеель
Unique Pharmaceutical Lab/ Юник Фармасьютикал; Юник Фармасьютикал
ЗАО "Сотекс Фармфирма"; Сотекс Фармфирма
ЗАО Фармпроект/ ООО НПО "ФармВилар"; Фармпроект  НПО ФармВилар
ООО "Фармацевтическая Фабрика" Пенза; Фармацевтическая Фабрика Пенза
Teva Pharm. Industries/ Тева Фарм. Предприятие; Тева Фарм Предприятие
Astrazeneca GMbH/ Астразенека; Астразенека
Bayer Schering Pharma, AG/ Байер Шеринг; Байер Шеринг
Famar Orleans/Фамар Орлеан; Фамар Орлеан
Merckle GmbH/ Меркле; Меркле
ЗАО "Канонфарма Продакшн"; Канонфарма Продакшн
ООО "Квадрат С"; Квадрат С
ОАО "Самарамедпром"; Самарамедпром
Ranbaxy Lab. Ltd/ Ранбакси; Ранбакси
Bosnalijek/ Босналек; Босналек
Ipsen Pharma Beaufour/ Ипсен Фарма; Ипсен Фарма
Sun Pharmaсeutical Industries Ltd./Санека Фармасьютикал Индастриз ЛТД; Санека Фармасьютикал Индастриз ЛТД
Sandoz GmbH/ Сандоз Гмбх; Сандоз Гмбх
Polpharma/ Польфарма; Польфарма
ЗАО "Эвалар"; Эвалар
Actavis Group/Актавис; Актавис
ЗАО "Вифитех"; Вифитех
Dr. Falk Pharma GmbH/ Доктор Фальк Фарма; Доктор Фальк Фарма
Micro Labs Ltd./ Микро Лабс Лимитед; Микро Лабс Лимитед
ООО "Фармгрупп"; Фармгрупп
ООО "КРКА-РУС"; КРКА РУС
Bionorica AG/ Бионорика АГ; Бионорика АГ
PLIVA HRVATSKA, d.o.o. / Плива Хрватска д.о.о.; Плива Хрватска д о о
ООО "Нанолек"; Нанолек
ЗАО "Хиноин Завод Фармацевтических и Химических продуктов"; Хиноин Завод Фармацевтических и Химических продуктов
Zambon Group/ Замбон; Замбон
Patheon Softgels B.V/Патеон Софтджелс Б.В; Патеон Софтджелс Б В
ЗАО "Биоком"; Биоком
ООО "Хемофарм"; Хемофарм
Nycomed GmbH/ Никомед; Никомед
ООО "Материа Медика Холдинг НПФ"; Материа Медика Холдинг НПФ
ОАО "Усолье-Сибирский ХФЗ"; Усолье Сибирский ХФЗ
ООО "Фармакор Продакшн"; Фармакор Продакшн
ООО "Сервье Рус"; Сервье Рус
АО "Фармасинтез"; Фармасинтез
Torrent Pharmaceuticals Ltd./ Торрент; Торрент
Glenmark Pharmaceuticals Ltd\n/Гленмарк Фармасьютикалз Лтд; Гленмарк Фармасьютикалз Лтд
Ipca Lab. Ltd./ Ипка Лабораториз Лтд; Ипка Лабораториз Лтд
Pro.Med.C.s./ Про.Мед. ЦС; Про Мед ЦС
ОАО ЗМП "Борисовский"; ЗМП Борисовский
АО "Фармпроект"; Фармпроект
ООО "Такеда Фармасьютикалс"; Такеда Фармасьютикалс
Hemofarm A.D./ Хемофарм; Хемофарм
Instituto De Angeli/Институт де Ангели; Институт де Ангели
Solgar Vitamin/ Солгар; Солгар
ООО "Грин Сайд"; Грин Сайд
ООО "Биотерра"; Биотерра
Авва-Рус/Сти-Мед-Сорб; Авва Рус Сти Мед Сорб
Panacea Biotec Ltd./ Панацея Биотек; Панацея Биотек
Krewel Meuselbach GmbH/ Кревель Мойзельбах; Кревель Мойзельбах
Danang Central/ Danafa Pharm./ Данафа; Данафа
ООО "Алмаксфарм"; Алмаксфарм
Guizhou Miaoyao/ Гуйчжоу Мяояо; Гуйчжоу Мяояо
World Medicine Ilac San. ve Tic. A.S./Уорлд Медицин Илач Сан. ве Тидж. А.Ш.; Уорлд Медицин Илач Сан ве Тидж А Ш
СмитКляйн Бичем С.А./SmithKline Beecham S.A.; СмитКляйн Бичем С А
Такеда Айлэнд Лимитед; Такеда Айлэнд Лимитед
АО "Нобел Алматинская ФФ"; Нобел Алматинская ФФ
Angelini Francesco/ Анжелини Франческо; Анжелини Франческо
Alkaloid/ Алкалоид; Алкалоид
ФГУП "Московский эндокринный з-д"; ФГУП Московский эндокринный з д
ЗАО "Московская ФФ"; Московская ФФ
Famar Italia S.p.A./ Фамар Италия С.п.А.; Фамар Италия С п А
ОАО "Синтез"; Синтез
ООО "Р-Фарм Новосёлки"; Р Фарм Новосёлки
ООО "Пик-Фарма Про"; Пик Фарма Про
ООО "Эллара"; Эллара
АО "Таллиннский ХФЗ"; Таллиннский ХФЗ
ООО "Новартис Нева"; Новартис Нева
Dr. Kade GmbH/ Д-р Каде Гмбх; Д р Каде Гмбх
Pharmamed/West Coast Lab/ Фармамед; Фармамед
Astellas Pharma Europe B.D./ Астеллас; Астеллас
Lab. Bouchara; Lab Bouchara
ООО "Алвоген Фарма"; Алвоген Фарма
Rosa-Phytopharma Lab./ Роза-Фитофарм; Роза Фитофарм
ЗАО "Ярославская ФФ"; Ярославская ФФ
ЗАО "Лекко"; Лекко
Recordati Ind.Chemical/ Рекордати; Рекордати
ОАО "Ирбитский ХФЗ"; Ирбитский ХФЗ
ЗАО "Зеленая Дубрава"; Зеленая Дубрава
АО "Кировская ФФ"; Кировская ФФ
Sopharma/ Софарма; Софарма
Gepach Int./ Джепак; Джепак
ООО "Полярис"; Полярис
ЗАО "Фармпроект"; Фармпроект
Lannacher Heilmittel GmbH/ Ланнахер; Ланнахер
Boiron Lab./ Буарон; Буарон
ЗАО "ФармВилар ФПК"; ФармВилар К
HIGlance Lab.Pvt/Хайгланс Лаб.; Хайгланс Лаб
АО ХФЗ "Здравле"; ХФЗ Здравле
Cipla Ltd./ Ципла; Ципла
Pfizer PGM/ Пфайзер; Пфайзер
Sun Pharmaceutical Industries/ Сан Фармасьютикал Индастриз Лтд; Сан Фармасьютикал Индастриз Лтд
Johnson & Johnson/ Джонсон энд Джонсон; Джонсон энд Джонсон
«Лаб. Сервье Индастри» / Les Lab. Servier Ind.; Лаб Сервье Индастри
Chinoin Pharm. Works/ Хиноин; Хиноин
ЗАО "Макиз Фарма"; Макиз Фарма
A.Nattermann and Cie GmbH/ А.Наттерманн энд Сие; А Наттерманн энд Сие
Dompe S.P.A/ Домпе; Домпе
ReplekPharm A.D./ РеплекФарм; РеплекФарм
Teva Operations Poland/ Тева Оперейшнс Поланд; Тева Оперейшнс Поланд
VetProm AD/ ВетПром АД; ВетПром АД
Agio Pharmaceuticals/ Аджио; Аджио
ООО "Гиппократ"; Гиппократ
ООО "Славянская аптека"; Славянская аптека
ООО "ВТФ"; ВТФ
Divapharma GmbH/ Дивафарма Кнуфайнк; Дивафарма Кнуфайнк
Rompharm Compani/ Ромфарм Компани; Ромфарм Компани
ЗАО "Обнинская ХФК"; Обнинская ХФК
ЗАО "Цитомед"; Цитомед
Walmark a/s; Walmark a s
ПКФ "Две линии"; Две линии
ООО "Медсинтез"; Медсинтез
Dolorgiet GmbH/ Долоргет; Долоргет
Лабораториос Менарини/Файн Фудс & Фармасьютикалз; Лабораториос Менарини Файн Фудс Фармасьютикалз
Делфарм Монреаль Инк; Делфарм Монреаль Инк
Аурена Лаб. Эй Би», Швеция/AURENA Lab. AB; Аурена Лаб Эй Би Швеция
Balkanpharma Razgrad AD/Балканфарма Разград АД; Балканфарма Разград АД
Блюфарма-Индустрия Фармацеутика, С.А.; Блюфарма Индустрия Фармацеутика С А
Oxford Lab. Pvt. Ltd./ Оксфорд Лаб.; Оксфорд Лаб
Mayoly Spindler/ Майоли Спиндлер; Майоли Спиндлер
ООО "Производство медикаментов"; Производство медикаментов
Grindex /Гриндекс; Гриндекс
ЗАО "Олифен корпорация"; Олифен корпорация
Takeda GmbH/Такеда; Такеда
ЗАО "Биокад"; Биокад
ЗАО "Полисорб"; Полисорб
РУП "Белмедпрепараты"; РУП Белмедпрепараты
ООО "Альтфарм"; Альтфарм
Innothera Chouzy/ Иннотера Шузи; Иннотера Шузи
Merz Pharma GmbH/ Мерц; Мерц
ООО "Биофармлаб"; Биофармлаб
ООО "Натурофарм"; Натурофарм
Madaus GmbH/ Мадаус; Мадаус
Simpex Pharma Pvt.Ltd./ Симпекс Фарма; Симпекс Фарма
ОАО "Ивановская ФФ"; Ивановская ФФ
Dr. R. Pfleger Chemical/ Д-р Р. Пфлегер; Д р Р Пфлегер
Принц Супплико/Prince Supplico; Принц Супплико
ЗАО "Витафарма"; Витафарма
ЗАО "Аквамир"; Аквамир
"Natures Bounty/Нэйчес Баунти"; Нэйчес Баунти
ООО "ПроБиоФарм"; ПроБиоФарм
ОДО "Аматег"; ОДО Аматег
ООО "Эксперт БИО" г. Санкт-Петербург; Эксперт БИО г Санкт Петербург
YS Lab./Ис Лаб.; Ис Лаб
Mentholatum Comp. Ltd/ Ментолатум Компани ЛТД; Ментолатум Компани ЛТД
ООО "Фармновация"; Фармновация
ООО "Полисан НТФФ"; Полисан НТФФ
Wockhard Ltd./ Вокхард Лимитед; Вокхард Лимитед
ОАО "Марбиофарм"; Марбиофарм
ООО "Naturex"/"Натурекс"; Натурекс
Belupo/ Белупо; Белупо
Сана Фармасьютикал Индастри; Сана Фармасьютикал Индастри
Salutas Pharma GmbH/ Салютас Фарма; Салютас Фарма
