КРКА-Рус ООО; КРКА Рус
КРКА, д.д., Ново место; КРКА д д Ново место
Канонфарма продакшн ЗАО; Канонфарма продакшн
Вертекс АО; Вертекс
Фармстандарт-Лексредства ОАО; Фармстандарт Лексредства
Д-р Реддис Лабораторис Лтд; Д р Реддис Лабораторис Лтд
Озон ООО; Озон
Атолл ООО/пр.Озон ООО; ['Атолл', 'Озон']
Северная звезда НАО; Северная звезда
Северная звезда ЗАО; Северная звезда
АВВА РУС АО; АВВА РУС
Фармпроект АО/Фармвилар НПО ООО; ['Фармпроект', 'Фармвилар']
Обновление ПФК ЗАО; Обновление
Рекитт Бенкизер Хелскэр Интернешнл Лтд; Рекитт Бенкизер Хелскэр Интернешнл Лтд
Эгис Фармацевтический завод ЗАО; Эгис Фармацевтический завод
Пранафарм ООО; Пранафарм
Шрея Лайф Сайенсиз Пвт Лтд; Шрея Лайф Сайенсиз Пвт Лтд
Нижфарм ОАО/пр.Хемофарм ООО; ['Нижфарм', 'Хемофарм']
Оболенское ФП АО; Оболенское
Гедеон Рихтер ОАО; Гедеон Рихтер
Северная звезда ЗАО/НАО; ['Северная звезда', '']
Синтез ОАО; Синтез
Гротекс ООО; Гротекс
КРКА, д.д., Ново место/пр.Крка-Рус ООО; ['КРКА, д.д., Ново место', 'Крка-Рус']
Верофарм ООО; Верофарм
Ипка Лабораториз Лимитед; Ипка Лабораториз Лимитед
Микро Лабс Лтд; Микро Лабс Лтд
Санофи Россия АО/Санека Фармасьютикалс а.с.; ['Санофи Россия', 'Санека Фармасьютикалс а.с.']
Татхимфармпрепараты ОАО; Татхимфармпрепараты
ФармВИЛАР НПО ООО; ФармВИЛАР
Тева Фармацевтические Предприятия Лтд/пр.Тева ООО; ['Тева Фармацевтические Предприятия Лтд', 'Тева']
Обновление ПФК АО; Обновление
Акрихин ХФК ОАО; Акрихин ХФК
КРКА, д.д., Ново место АО; КРКА д д Ново место
Юник Фармасьютикал Лабораториз; Юник Фармасьютикал Лабораториз
АЛСИ Фарма ЗАО; АЛСИ Фарма
Польфарма АО; Польфарма
АЛСИ Фарма АО; АЛСИ Фарма
Вифитех ЗАО; Вифитех
Софарма АО; Софарма
Гедеон Рихтер ОАО/пр.Гедеон Рихтер-РУС; ['Гедеон Рихтер', 'Гедеон Рихтер-РУС']
Борисовский ЗМП ОАО; Борисовский ЗМП
КРКА, д.д., Ново место/КРКА-Рус ООО; ['КРКА, д.д., Ново место', 'КРКА-Рус']
ПРО.МЕД.ЦС Прага а.о.; ПРО МЕД ЦС Прага а о
Дальхимфарм ОАО; Дальхимфарм
Тульская ФФ ООО; Тульская ФФ
Зентива к.с.; Зентива к с
Берлин-Хеми АГ; Берлин Хеми АГ
Хиноин ЗАО; Хиноин
Биосинтез ОАО (г.Пенза); Биосинтез  г Пенза
Лек д.д.; Лек д д
СмитКляйн Бичем С.А.; СмитКляйн Бичем С А
Панацея Биотек Лтд; Панацея Биотек Лтд
Белупо лекарства и косметика д.д.; Белупо лекарства и косметика д д
Тева Фармацевтические Предприятия Лтд; Тева Фармацевтические Предприятия Лтд
Сандоз д.д./пр.Салютас Фарма ГмбХ; ['Сандоз д.д.', 'Салютас Фарма ГмбХ']
Лаборатории Сервье/пр.Сервье РУС ООО; ['Лаборатории Сервье', 'Сервье РУС']
Балканфарма - Троян АД; Балканфарма Троян АД
УПСА САС; УПСА САС
Биоком ЗАО; Биоком
Биокодекс С.А.; Биокодекс С А
Тюменский ХФЗ; Тюменский ХФЗ
Сан Фармасьютикал Индастриз Лтд; Сан Фармасьютикал Индастриз Лтд
Велфарм ООО; Велфарм
