name;first_name;chains
Розувастатин таблетки 20мг №30;Розувастатин;name_apr_W
Аторвастатин таблетки 20мг №30;Аторвастатин;name_apr_W
Розувастатин таблетки 10мг №30;Розувастатин;name_apr_W
Лизиноприл таблетки 10мг №30;Лизиноприл;name_apr_W
Аторвастатин таблетки 10мг №30;Аторвастатин;name_apr_W
Лизиноприл таблетки 20мг №30;Лизиноприл;name_apr_W
Амлодипин таблетки 10мг №30;Амлодипин;name_apr_W
Метопролол таблетки 100мг №30;Метопролол;name_apr_W
Метопролол таблетки 50мг №30;Метопролол;name_apr_W
Валсартан таблетки 80мг №30;Валсартан;name_apr_W
Периндоприл таблетки 4мг №30;Периндоприл;name_apr_W
Эналаприл таблетки 20мг №20;Эналаприл;name_apr_W
Розувастатин таблетки 5мг №30;Розувастатин;name_apr_W
Каптоприл таблетки 50мг №40;Каптоприл;name_apr_W
Мелоксикам таблетки 7,5мг №20;Мелоксикам;name_apr_W
Лизиноприл таблетки 10мг №20;Лизиноприл;name_apr_W
Симвастатин таблетки 20мг №30;Симвастатин;name_apr_W
Метилурацил суппозитории ректальные 500мг №10;Метилурацил;name_apr_W
Мелоксикам таблетки 15мг №20;Мелоксикам;name_apr_W
Метопролол таблетки 50мг №60;Метопролол;name_apr_W
Нафтизин капли назальные 0,1% флакон 15мл;Нафтизин;name_apr_W
Боярышник настойка флакон 25мл;Боярышник;name_apr_W
Моксонидин таблетки 0,4мг №30;Моксонидин;name_apr_W
Касторовое масло флакон 30мл;Касторовое;name_apr_W
Омепразол капс. 20мг №30;Омепразол;name_apr_W
Бисопролол таблетки 10мг №30;Бисопролол;name_apr_W
Ибупрофен таблетки 200мг №50;Ибупрофен;name_apr_W
Валидол таблетки 60мг №10;Валидол;name_apr_W
Лизиноприл таблетки 20мг №20;Лизиноприл;name_apr_W
Ибупрофен таблетки 200мг №20;Ибупрофен;name_apr_W
Лозартан таблетки 12,5мг №30;Лозартан;name_apr_W
Ингалипт аэрозоль флакон 30мл;Ингалипт;name_apr_W
Эналаприл таблетки 5мг №20;Эналаприл;name_apr_W
Каптоприл таблетки 50мг №20;Каптоприл;name_apr_W
Лозартан таблетки 100мг №30;Лозартан;name_apr_W
Моксонидин таблетки 0,2мг №60;Моксонидин;name_apr_W
Амлодипин таблетки 5мг №30;Амлодипин;name_apr_W
Периндоприл таблетки 8мг №30;Периндоприл;name_apr_W
Фуросемид раствор для инъекций 10мг/мл ампулы 2мл №10;Фуросемид;name_apr_W
Папазол таблетки №20;Папазол;name_apr_W
Детралекс таблетки 500мг №60;Детралекс;name_apr_W
Торасемид таблетки 5мг №30;Торасемид;name_apr_W
Ибупрофен Велфарм таблетки 200мг №30;Ибупрофен;name_apr_W
Пертуссин сироп флакон 100мл;Пертуссин;name_apr_W
Перца стручкового настойка флакон 25мл;Перца;name_apr_W
Папаверин суппозитории ректальные 20мг №10;Папаверин;name_apr_W
Корвалол капли для приема внутрь фл. 25мл;Корвалол;name_apr_W
Рибоксин раствор для инъекций 2% ампулы 10мл №10;Рибоксин;name_apr_W
Небиволол таблетки 5мг №14;Небиволол;name_apr_W
Магния сульфат раствор для инъекций 25% ампулы 10мл №10;Магния;name_apr_W
Амброксол Велфарм таблетки 30мг №20;Амброксол;name_apr_W
Рибоксин раствор для инъекций 2% ампулы 5мл №10;Рибоксин;name_apr_W
Конкор таблетки 5мг №30;Конкор;name_apr_W
Ибупрофен Велфарм таблетки 400мг №10;Ибупрофен;name_apr_W
Нафтизин капли назальные 0.1% флакон 15мл;Нафтизин;name_apr_W
Конкор таблетки 5мг №50;Конкор;name_apr_W
Милдронат раствор для инъекций 100мг/мл ампулы 5мл №10;Милдронат;name_apr_W
Эдарби таблетки 80мг №28;Эдарби;name_apr_W
Торасемид таблетки 5мг №60;Торасемид;name_apr_W
Лозартан таблетки 50мг №90;Лозартан;name_apr_W
Гепариновая мазь 25г;Гепариновая;name_apr_W
Престанс таблетки 5мг+5мг №30;Престанс;name_apr_W
Престанс таблетки 10мг+10мг №30;Престанс;name_apr_W
Конкор таблетки 10мг №30;Конкор;name_apr_W
Ибупрофен Велфарм таблетки 200мг №20;Ибупрофен;name_apr_W
Лозартан таблетки 25мг №30;Лозартан;name_apr_W
Троксерутин капс. 300мг №50;Троксерутин;name_apr_W
Пектусин таблетки №20;Пектусин;name_apr_W
Гидрохлортиазид таблетки 25мг №20;Гидрохлортиазид;name_apr_W
Экватор таблетки 10мг+20мг №30;Экватор;name_apr_W
Экватор таблетки 5мг+10мг №30;Экватор;name_apr_W
Амброксол Велфарм таблетки 30мг №50;Амброксол;name_apr_W
Новокаин раствор для инъекций 0,5% ампулы 10мл №10;Новокаин;name_apr_W
Бефунгин раствор для приема внутрь флакон 100мл;Бефунгин;name_apr_W
Белластезин таблетки №10;Белластезин;name_apr_W
Фамотидин таблетки 20мг №20;Фамотидин;name_apr_W
Атенолол таблетки 100мг №30;Атенолол;name_apr_W
Сотагексал таблетки 80мг №20;Сотагексал;name_apr_W
Бисопролол Велфарм таблетки 5мг №50;Бисопролол;name_apr_W
Амброксол таблетки 30мг №20;Амброксол;name_apr_W
Атенолол таблетки 50мг №30;Атенолол;name_apr_W
Конкор кор таблетки 2,5мг №30;Конкор;name_apr_W
Анаприлин таблетки 10мг №50;Анаприлин;name_apr_W
Экватор таблетки 5мг+20мг №30;Экватор;name_apr_W
Лидокаина гидрохлорид раствор для инъекций 20мг/мл ампулы 2мл №10;Лидокаина;name_apr_W
Сотагексал таблетки 160мг №20;Сотагексал;name_apr_W
Кеторолак таблетки 10мг №20;Кеторолак;name_apr_W
Валсартан таблетки 160мг №30;Валсартан;name_apr_W
Спиронолактон таблетки 25мг №20;Спиронолактон;name_apr_W
Аспаркам таблетки №56;Аспаркам;name_apr_W
Бифидумбактерин пор.5 доз флакон №10;Бифидумбактерин;name_apr_W
Каптоприл таблетки 25мг №40;Каптоприл;name_apr_W
