count_index,name,price_withCard,price_withPeriod,price_withoutCard,allowOnlinePayment,isInStock,name_latin,bonuses,averageRating,isAvailable,allowDelivery,isRecipe,group,parsing_day_x,Nosology,Active_ingredient,Product_Group,Brand,Manufacturer,Country,Form_release,Form_release_common,Prescription,Conditions_of_storage,Active_ingredient_compound_name_composition,weight_briefly,Pharmacotherapeutic_group
1_2022-12-28,Боярышник настойка флакон 25мл,32.0,21.0,32.0,1,0,boyaryshnik_nastojka_fl_25ml,0.0,0.0,0,1,0,serdechnososudistaya,2022-12-28,"Соматоформная дисфункция вегетативной нервной системы, Боль в области сердца",Боярышник плоды,Not value,Боярышник настойка,"ОАО ""Ивановская ФФ""",Россия,Настойка,Настойка,Без рецепта,8-25 С,Боярышник плоды,Отсутствует,Прочие средства в кардиологии
5_2022-12-28,Валидол таблетки для рассасывания 60мг №10,44.0,28.0,44.0,1,0,validol_tabletki_0_06g_10,0.0,0.0,0,1,0,serdechnososudistaya,2022-12-28,"Неврастения, Головная боль, Соматоформная дисфункция вегетативной нервной системы, Нарушения вестибулярной функции, Стенокардия грудная жаба",Раствора ментола в ментиловом эфире кислоты изовалериановой,Not value,Валидол таблетки,"ОАО ""Марбиофарм""",Россия,Таблетки для рассасывания,Таблетки,Без рецепта,Не выше 25 С,Раствора ментола в ментиловом эфире кислоты изовалериановой,60мг,Прочие средства в кардиологии
6_2022-12-28,Валидол таблетки для рассасывания 60мг №16,92.0,64.0,92.0,1,0,validol_tabletki_0_06g_16,6.0,0.0,0,1,0,serdechnososudistaya,2022-12-28,"Неврастения, Невротическое расстройство неуточненное, Боль в области сердца, Укачивание при движении",Раствора ментола в ментиловом эфире кислоты изовалериановой,Not value,Валидол таблетки,"ЗАО ""ПФК Обновление""",Россия,Таблетки для рассасывания,Таблетки,Без рецепта,Не выше 25 С,Раствора ментола в ментиловом эфире кислоты изовалериановой,60мг,Прочие средства в кардиологии
7_2022-12-28,Валидол таблетки для рассасывания 60мг №20,103.0,66.0,103.0,1,0,validol_tabletki_20,0.0,0.0,0,1,0,serdechnososudistaya,2022-12-28,,Раствора ментола в ментиловом эфире кислоты изовалериановой,Not value,Валидол таблетки,"ОАО ""Ирбитский ХФЗ""",Россия,Таблетки для рассасывания,Таблетки,Без рецепта,Не выше 25 С,Раствора ментола в ментиловом эфире кислоты изовалериановой,60мг,Прочие средства в кардиологии
8_2022-12-28,Валсартан таблетки 80мг №30,384.0,250.0,384.0,0,0,valsartan_tabletki_80mg_30,20.0,0.0,0,0,1,serdechnososudistaya,2022-12-28,"Эссенциальная первичная гипертензия, Застойная сердечная недостаточность",Валсартан,Not value,Валсартан,"ООО ""Озон""",Россия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Валсартан,80мг,Средства снижающие давление
9_2022-12-28,Верапамил таблетки 40мг №30,50.0,38.0,50.0,0,0,verapamil_tabletki_40mg_30,1.0,0.0,0,0,1,serdechnososudistaya,2022-12-28,,Верапамил,Not value,Верапамил,Alkaloid/ Алкалоид,Македония,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Верапамил,40мг,Средства снижающие давление
10_2022-12-28,Верошпирон таблетки 25мг №20,101.0,77.0,101.0,0,0,veroshpiron_tabletki_25mg_20,0.0,0.0,0,0,1,serdechnososudistaya,2022-12-28,"Хроническая почечная недостаточность, Болезнь Паркинсона, Гипокалиемия, Гиперальдостеронизм, Недостаточность магния",Спиронолактон,Not value,Верошпирон,Gedeon Richter/ Гедеон Рихтер,Венгрия,Таблетки,Таблетки,Рецептурный,Не выше 30 С,Спиронолактон,25мг,Мочегонные средства (Диуретики)
14_2022-12-28,Винпоцетин таблетки 5мг №50,81.0,62.0,81.0,0,0,vinpocetin_tabletki_5mg_50,0.0,0.0,0,0,1,serdechnososudistaya,2022-12-28,"Сосудистая деменция, Головокружение и нарушение устойчивости, Инфаркт мозга",Винпоцетин,"Таблетки для  памяти, Для памяти",Винпоцетин таблетки,"ОАО ""Синтез""",Россия,Таблетки,Таблетки,Рецептурный,Обычный,Винпоцетин,5мг,Средства улучшающие мозговое кровообращение
15_2022-12-28,Гепариновая мазь 25г,98.0,78.0,98.0,1,0,geparinovaya_maz_25g,0.0,0.0,0,0,0,serdechnososudistaya,2022-12-28,"Флебит и тромбофлебит, Флебит и тромбофлебит поверхностных сосудов нижних конечностей, Варикозное расширение вен нижних конечностей с язвой и воспалением, Лимфоотек, не классифицированный в других рубриках, Лимфангит","Бензилникотинат, Бензокаин, Гепарин натрия",Not value,Гепариновая мазь,"ЗАО ""Алтайвитамины""",Россия,Мазь для наружного применения,Мазь,Без рецепта,8-15 С,Гепарин натрия+Бензокаин+Бензилникотинат,0.0833г+4г+0.08г,Венотонизирующие наружные средства
17_2022-12-28,Гидрохлортиазид таблетки 25мг №20,51.0,45.0,51.0,0,0,gidrohlortiazid_tabletki_25mg_20,2.0,0.0,0,0,1,serdechnososudistaya,2022-12-28,"Мочекаменная болезнь, Глаукома",Гидрохлоротиазид,Not value,Гидрохлортиазид,"ООО ""Озон""",Россия,Таблетки,Таблетки,Рецептурный,Не выше 25 С,Гидрохлоротиазид,25мг,Мочегонные средства (Диуретики)
18_2022-12-28,Гинкго билоба таблетки №40,199.0,199.0,332.0,1,0,ginkgo_biloba_tabletki_40,0.0,0.0,0,1,0,serdechnososudistaya,2022-12-28,"Неврастения, Инфаркт мозга","Гинкго Билоба, Глицин","Таблетки для  памяти, Для памяти",Эвалар,"ЗАО ""Эвалар""",Россия,Таблетки,Таблетки,Без рецепта,Не выше 25 С,Глицин+Гинкго Билоба,40мг+20мг,Средства улучшающие мозговое кровообращение
19_2022-12-28,Гинкоум капсулы 40мг №30,471.0,326.0,471.0,1,0,ginkoum_kapsuly_40mg_30,0.0,0.0,0,1,0,serdechnososudistaya,2022-12-28,Головокружение и нарушение устойчивости,Гинкго Билоба,"Таблетки для  памяти, Для памяти",Эвалар,"ЗАО ""Эвалар""",Россия,Капсулы для приема внутрь,Капсулы,Без рецепта,Не выше 25 С,Гинкго Билоба,40мг,Средства улучшающие мозговое кровообращение
27_2022-12-28,Докси-Хем капсулы 500мг №90,1067.0,755.0,1067.0,0,0,doksihem_kapsuly_500mg_90,16.0,5.0,0,0,1,serdechnososudistaya,2022-12-28,"Диабетическая ретинопатия (E10-E14+ с общим четвертым знаком .3), Флебит и тромбофлебит поверхностных сосудов нижних конечностей, Варикозное расширение вен нижних конечностей, Варикозное расширение вен нижних конечностей с язвой и воспалением, Хроническая язва кожи, не классифицированная в других рубриках",Кальция добезилат,Not value,Докси-Хем,Hemofarm A.D./ Хемофарм,Югославия,Капсулы для приема внутрь,Капсулы,Рецептурный,15-25 С,Кальция добезилат,500мг,Венотонизирующие внутренние средства
