groups;name_group;num;new_name_group
nosology;Эссенциальная [первичная] гипертензия;547;эссенциальная [первичная] гипертензия
nosology;Миалгия;236;миалгия
nosology;Застойная сердечная недостаточность;234;застойная сердечная недостаточность
nosology;Боль в суставе;232;боль в суставе
nosology;Стенокардия [грудная жаба];207;стенокардия [грудная жаба]
nosology;Головная боль;187;головная боль
nosology;Инфаркт мозга;183;инфаркт мозга
nosology;Острая инфекция верхних дыхательных путей неуточненная;163;острая инфекция верхних дыхательных путей неуточненная
nosology;Мигрень;140;мигрень
nosology;Острый фарингит;136;острый фарингит
nosology;Острый тонзиллит;122;острый тонзиллит
nosology;Полиартроз;119;полиартроз
nosology;Грипп, вызванный идентифицированным вирусом гриппа;115;грипп, вызванный идентифицированным вирусом гриппа
nosology;Острый назофарингит [насморк];113;острый назофарингит [насморк]
nosology;Острый инфаркт миокарда;112;острый инфаркт миокарда
nosology;Подагра;110;подагра
nosology;Смешанная гиперлипидемия;101;смешанная гиперлипидемия
nosology;Чистая гиперхолестеринемия;101;чистая гиперхолестеринемия
nosology;Запор;97;запор
nosology;Серопозитивный ревматоидный артрит;97;серопозитивный ревматоидный артрит
nosology;Острый синусит;83;острый синусит
nosology;Острый ларингит и трахеит;78;острый ларингит и трахеит
nosology;Изжога;75;изжога
nosology;Расстройства личности и поведения, обусловленные болезнью, повреждением или дисфункцией головного мозга;73;расстройства личности и поведения, обусловленные болезнью, повреждением или дисфункцией головного мозга
nosology;Диспепсия;71;диспепсия
nosology;Язва желудка;69;язва желудка
nosology;Неврастения;68;неврастения
nosology;Артроз неуточненный;66;артроз неуточненный
nosology;Геморрой и перианальный венозный тромбоз;62;геморрой и перианальный венозный тромбоз
nosology;Гломерулярные поражения при сахарном диабете (E10-E14+ с общим четвертым знаком .2);62;гломерулярные поражения при сахарном диабете (e10-e14+ с общим четвертым знаком .2)
nosology;Атеросклероз;60;атеросклероз
nosology;Гастроэзофагеальный рефлюкс с эзофагитом;60;гастроэзофагеальный рефлюкс с эзофагитом
nosology;Тошнота и рвота;60;тошнота и рвота
nosology;Чистая гиперглицеридемия;60;чистая гиперглицеридемия
nosology;Сосудистая деменция;54;сосудистая деменция
nosology;Язва двенадцатиперстной кишки;53;язва двенадцатиперстной кишки
nosology;Острый ларингит;52;острый ларингит
nosology;Гастроэзофагеальный рефлюкс;48;гастроэзофагеальный рефлюкс
nosology;Гнойный и неуточненный средний отит;48;гнойный и неуточненный средний отит
nosology;Внутричерепная травма;47;внутричерепная травма
nosology;Кандидозный стоматит;47;кандидозный стоматит
nosology;Преходящие транзиторные церебральные ишемические приступы [атаки] и родственные синдромы;47;преходящие транзиторные церебральные ишемические приступы [атаки] и родственные синдромы
nosology;Хронический ринит, назофарингит и фарингит;46;хронический ринит, назофарингит и фарингит
nosology;Остеохондроз позвоночника;45;остеохондроз позвоночника
nosology;Соматоформная дисфункция вегетативной нервной системы;45;соматоформная дисфункция вегетативной нервной системы
nosology;Хронический тонзиллит;45;хронический тонзиллит
nosology;Головокружение и нарушение устойчивости;44;головокружение и нарушение устойчивости
nosology;Нестабильная стенокардия;43;нестабильная стенокардия
nosology;Другие уточненные изменения зубов и их опорного аппарата;42;другие уточненные изменения зубов и их опорного аппарата
