group;name_item;href_name;price;street;region;seller
['1-komnatnye'];1-к. квартира, 41,5 м², 3/16 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_415m_316et._2659636745;4208100.0;ул. Калинина, з/у 19;р-н Кировский;ЖК Калина Парк
['1-komnatnye'];1-к. квартира, 41,5 м², 9/16 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_415m_916et._2659525292;4208100.0;ул. Калинина, з/у 19;р-н Кировский;ЖК Калина Парк
['1-komnatnye'];1-к. квартира, 33 м², 13/24 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_33m_1324et._2521770920;4300000.0;ул. Бехтерева, д. 2б;р-н Кировский;None
['1-komnatnye'];1-к. квартира, 40,2 м², 5/19 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_402m_519et._2509678857;5000000.0;ул. Трофимова, стр. 1;р-н Советский;"ООО ""Буран"", ЖК ""Лотос Парк"""
['1-komnatnye'];1-к. квартира, 41,5 м², 8/16 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_415m_816et._2659576094;4208100.0;ул. Калинина, з/у 19;р-н Кировский;ЖК Калина Парк
['1-komnatnye'];1-к. квартира, 42,8 м², 7/10 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_428m_710et._3298294724;3400000.0;ул. Космонавта Комарова, д. 59Б;р-н Ленинский;Самолет Плюс-Астрахань
['1-komnatnye'];1-к. квартира, 37,5 м², 16/16 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_375m_1616et._3091451549;4237500.0;ул. Минусинская, уч. 8г, стр. 2;р-н Кировский;АКСИОМА | Квартиры в новостройках Астрахани от застройщика
['1-komnatnye'];1-к. квартира, 36 м², 3/4 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_36m_34et._2665203739;2905200.0;ул. 1-я Воскресенская, д. 2;р-н Советский;АЛЕГРАНТ-ГРУПП
['1-komnatnye'];1-к. квартира, 38,5 м², 15/16 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_385m_1516et._3090774279;4350500.0;ул. Минусинская, уч. 8г, стр. 2;р-н Кировский;АКСИОМА | Квартиры в новостройках Астрахани от застройщика
['1-komnatnye'];1-к. квартира, 41,3 м², 5/17 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_413m_517et._2509253805;4900000.0;ул. Трофимова, стр. 1;р-н Советский;"ООО ""Буран"", ЖК ""Лотос Парк"""
['1-komnatnye'];1-к. квартира, 38,5 м², 14/16 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_385m_1416et._3091198529;4350500.0;ул. Минусинская, уч. 8г, стр. 2;р-н Кировский;АКСИОМА | Квартиры в новостройках Астрахани от застройщика
