group;name_item;href_name;price;street;region;seller;group2
1-komnatnye;1-к. квартира, 30 м², 7/15 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_30m_715et._3098390671;3800000.0;ул. Савушкина, 6Ж;р-н Ленинский;None;vtorichka
1-komnatnye;1-к. квартира, 46,1 м², 1/10 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_461m_110et._3004062991;5100000.0;Боевая ул., 126к5;р-н Советский;None;vtorichka
1-komnatnye;1-к. квартира, 38,1 м², 5/20 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_381m_520et._2460999395;4350000.0;ул. Ахшарумова, 27А;р-н Советский;Потолок Снаб;vtorichka
1-komnatnye;1-к. квартира, 29,8 м², 3/3 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_298m_33et._2901524905;2000000.0;ул. Свердлова, 17;р-н Кировский;"АН ""Мегаполис-Сервис""- Астрахань";vtorichka
1-komnatnye;1-к. квартира, 42 м², 10/13 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_42m_1013et._3106614727;5600000.0;Боевая ул., 30;р-н Советский;Ольга;vtorichka
1-komnatnye;1-к. квартира, 28,9 м², 1/5 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_289m_15et._2998327024;2500000.0;Ужгородская ул., 9;р-н Ленинский;Департамент недвижимости;vtorichka
1-komnatnye;1-к. квартира, 42,2 м², 3/9 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_422m_39et._2950958461;3250000.0;ул. Куликова, 83к1;р-н Кировский;"АН ""ДОМОВОЙ""";vtorichka
1-komnatnye;1-к. квартира, 41 м², 7/9 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_41m_79et._2979906623;2599000.0;ул. Дзержинского, 58;р-н Трусовский;SELLER;vtorichka
1-komnatnye;1-к. квартира, 39,1 м², 3/3 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_391m_33et._2383310725;3800000.0;ул. Бехтерева, 8Б;None;SELLER;vtorichka
1-komnatnye;1-к. квартира, 40 м², 3/20 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_40m_320et._2054706421;5200000.0;ул. Набережная Приволжского затона, д. 24;None;SELLER;vtorichka
1-komnatnye;1-к. квартира, 43,2 м², 3/10 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_432m_310et._3015068220;3600000.0;ул. Космонавта Комарова, д. 59Б;None;SELLER;vtorichka
1-komnatnye;1-к. квартира, 23 м², 2/2 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_23m_22et._2782860717;1300000.0;ул. Куйбышева, 61/70;р-н Ленинский;None;vtorichka
1-komnatnye;1-к. квартира, 44 м², 23/23 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_44m_2323et._2876589304;6650000.0;ул. Набережная Приволжского Затона, 41;р-н Советский;None;vtorichka
1-komnatnye;1-к. квартира, 30 м², 2/5 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_30m_25et._2980417004;3200000.0;ул. Савушкина, 14;р-н Ленинский;None;vtorichka
1-komnatnye;1-к. квартира, 31,8 м², 5/24 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_318m_524et._2891571713;4550000.0;ул. Бехтерева, д. 2б;р-н Кировский;Виктория;vtorichka
1-komnatnye;1-к. квартира, 30,8 м², 4/5 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_308m_45et._3114473933;2900000.0;ул. Яблочкова, 19;р-н Ленинский;Ваш выбор (Продажа домов от застройщика);vtorichka
1-komnatnye;1-к. квартира, 34 м², 2/9 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_34m_29et._2952699970;2950000.0;микрорайон имени Бабаевского, Бульварная ул., 1к1;р-н Ленинский;None;vtorichka
1-komnatnye;1-к. квартира, 30 м², 9/10 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_30m_910et._3109454300;2650000.0;Грановский пер., 69к2;р-н Трусовский;None;vtorichka
1-komnatnye;1-к. квартира, 39,2 м², 9/12 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_392m_912et._2981288519;4000000.0;ул. Баха, 10;р-н Советский;None;vtorichka
