Форма выпуска,Производитель,list_drugstore,Побочные действия,Противопоказания,"Как принимать, курс приема и дозировка",Показания,Передозировка,Применение при беременности и кормлении грудью,Фармакологическое действие,item_price,Условия отпуска из аптек,Взаимодействие,Действующее вещество,item_name,Состав,availability_pharmacy,Специальные указания,Рекомендации по применению,Страна производства
"Таблетки, 12,5 мг+40 мг",Лабораториос Ликонса С.А.,"[{'name_drugstore': 'Социальная Аптека №174', 'adress_drugstore': 'Астрахань, ул. Кубанская, 66', 'workhours_drugstore': 'пн-вс 08:00-20:00'}, {'name_drugstore': 'Социальная Аптека №178', 'adress_drugstore': 'Астрахань, ул. Свердлова, 21', 'workhours_drugstore': 'пн-вс 08:00-20:00'}, {'name_drugstore': 'Социальная Аптека №182', 'adress_drugstore': 'Астрахань, ул. Курская, 74', 'workhours_drugstore': 'пн-вс 08:00-20:00'}, {'name_drugstore': 'Социальная Аптека №192', 'adress_drugstore': 'Астрахань, ул. Звездная, 49/3', 'workhours_drugstore': 'пн-вс 08:00-21:00'}, {'name_drugstore': 'Социальная Аптека №195', 'adress_drugstore': 'Астрахань, ул. Бульварная, 11а', 'workhours_drugstore': 'пн-вс 08:00-21:00'}, {'name_drugstore': 'Социальная Аптека №196', 'adress_drugstore': 'Астрахань, ул. Н. Островского, д.160, корпус 1', 'workhours_drugstore': 'пн-вс 08:00-21:00'}]","



	 Частота развития неблагоприятных побочных реакций приведена в соответствии с классификацией Всемирной Организации Здравоохранения (ВОЗ): очень часто (≥1/10), часто (≥1/100, <1/10); нечасто (≥1/1000, <1/100); редко (≥1/10000, <1/1000); очень редко (< 1/10000), неизвестно (частота не может быть оценена на основании имеющихся данных).



Инфекционные и паразитарные заболевания



	 Нечасто: инфекции верхних дыхательных путей1), инфекции мочевыводящих путей (включая цистит)1)




	 Редко: бронхит, фарингит, синусит, сепсис, включая случаи с летальным исходом1)




	 Неизвестно: воспаление слюнных желез2)



Нарушения со стороны крови и лимфатической системы



	 Нечасто: анемия1)




	 Редко: тромбоцитопения (иногда с пурпурой) 1), эозинофилия1)




	 Неизвестно: тромбоцитопения (иногда с пурпурой)2), апластическая анемия2), гемолитическая анемия2), угнетение функции костного мозга2), лейкопения2), нейтропения/агранулоцитоз2)



Нарушения со стороны иммунной системы



	 Редко: обострение или усиление симптомов системной красной волчанки, анафилактические реакции1), гиперчувствительность1), аллергия1)




	 Неизвестно: анафилактические реакции2), гиперчувствительность2), аллергия2)



Нарушения со стороны эндокринной системы



	 Неизвестно: недостаточный контроль сахарного диабета (нарушение толерантности к глюкозе)2)



Нарушения со стороны обмена веществ и питания



	 Нечасто: гипокалиемия, гиперкалиемия1)




	 Редко: гипонатриемия, гиперурикемия, гипогликемия (у пациентов с сахарным диабетом) 1)




	 Неизвестно: снижение ОЦК2), нарушение электролитного баланса2), снижение аппетита2), анорексия2), гипергликемия2), гиперхолистеринемия2), гипомагниемия2), гиперкальциемия2), гипохлоремический алкалоз2)



Нарушения психики



	 Нечасто: тревога




	 Редко: депрессия




	 Неизвестно: возбудимость2)



Нарушения со стороны нервной системы



	 Нечасто: головокружение, синкопе/обморок, парестезия




