group,name_item,href_name,price,stock,recipe,substance,producer
preparaty-pri-prostudnykh-zabolevaniyakh-i-grippe,Антигриппин-Экспресс пор. д/р-ра внутр малиновый №12,https://xn--80aafkze2bij.online/antigrippin-ekspress-por-d-r-ra-vnutr-malina-12-7018448/,459.0,есть в наличии,Нет,Парацетамол+Фенирамин+[Аскорбиновая кислота],Сотекс/Санкт-Петербургская ФФ ОАО (ГаленоФарм)
preparaty-pri-prostudnykh-zabolevaniyakh-i-grippe,Антигриппин-Экспресс пор. д/р-ра внутр лимонный №6,https://xn--80aafkze2bij.online/antigrippin-ekspress-por-d-r-ra-vnutr-limon-6-7018498/,278.0,есть в наличии,Нет,Парацетамол+Фенирамин+[Аскорбиновая кислота],Сотекс/Санкт-Петербургская ФФ ОАО (ГаленоФарм)
preparaty-pri-prostudnykh-zabolevaniyakh-i-grippe,"Фервекс пор. д/р-ра внутр лимонный 500мг+25мг+200мг 4,95г №12",https://xn--80aafkze2bij.online/ferveks-por-b-sakhara-limon-4-95-13-1g-12-6399768/,649.0,есть в наличии,Нет,ПАРАЦЕТАМОЛ+ФЕНИРАМИН+АСКОРБИНОВАЯ КИСЛОТА,УПСА САС
preparaty-pri-prostudnykh-zabolevaniyakh-i-grippe,Фервекс пор. д/р-ра внутр лимонный с сахаром 500мг+25мг+200мг №12,https://xn--80aafkze2bij.online/ferveks-por-d-r-ra-vnutr-limonnyy-s-sakharom-500mg-25mg-200mg-12-2035088/,583.0,есть в наличии,Нет,ПАРАЦЕТАМОЛ+ФЕНИРАМИН+АСКОРБИНОВАЯ КИСЛОТА,Бристол-Майерс Сквибб/УПСА САС
preparaty-pri-prostudnykh-zabolevaniyakh-i-grippe,"Фервекс пор. д/р-ра внутр лимонный б/сахара 500мг+25мг+200мг 4,95г №8",https://xn--80aafkze2bij.online/ferveks-por-b-sakhara-limon-4-95-13-1g-8-1139498/,495.0,есть в наличии,Нет,ПАРАЦЕТАМОЛ+ФЕНИРАМИН+АСКОРБИНОВАЯ КИСЛОТА,УПСА САС
preparaty-pri-prostudnykh-zabolevaniyakh-i-grippe,"Фервекс пор. д/р-ра внутр лимонный с сахаром 500мг+25мг+200мг 13,1г №8",https://xn--80aafkze2bij.online/ferveks-por-s-sakharom-limon-13-1g-8-1514948/,474.0,есть в наличии,Нет,ПАРАЦЕТАМОЛ+ФЕНИРАМИН+АСКОРБИНОВАЯ КИСЛОТА,УПСА САС
preparaty-pri-prostudnykh-zabolevaniyakh-i-grippe,Суприма-плюс мазь 20г №1,https://xn--80aafkze2bij.online/suprima-plyus-maz-20g-1-1253418/,196.0,есть в наличии,Нет,КАМФОРА+МЕНТОЛ+ЭВКАЛИПТОВОЕ МАСЛО+ТИМОЛ+ТЕРПЕНТИНОВОЕ МАСЛО,Шрея Лайф Сайенсиз Пвт Лтд
preparaty-pri-prostudnykh-zabolevaniyakh-i-grippe,АнвиМакс таб. шип. со вкусом и ароматом малины №10,https://xn--80aafkze2bij.online/anvimaks-tab-ship-so-vkusom-i-aromatom-maliny-10-6276298/,377.0,есть в наличии,Нет,АСКОРБИНОВАЯ КИСЛОТА+КАЛЬЦИЯ ГЛЮКОНАТ+ЛОРАТАДИН+ПАРАЦЕТАМОЛ+РИМАНТАДИН+РУТОЗИД,ФармВИЛАР НПО ООО
preparaty-pri-prostudnykh-zabolevaniyakh-i-grippe,"Фервекс пор. д/р-ра внутр малиновый с сахаром 500мг+25мг+200мг 12,75г №8",https://xn--80aafkze2bij.online/ferveks-por-malinovyy-s-sakharom-500mg-25mg-200mg-12-75g-8-2086838/,375.0,есть в наличии,Нет,ПАРАЦЕТАМОЛ+ФЕНИРАМИН+АСКОРБИНОВАЯ КИСЛОТА,УПСА САС
preparaty-pri-prostudnykh-zabolevaniyakh-i-grippe,Ринза таб. №10,https://xn--80aafkze2bij.online/rinza-tab-10-1262348/,223.0,есть в наличии,Нет,КОФЕИН+ПАРАЦЕТАМОЛ+ФЕНИЛЭФРИН+ХЛОРФЕНАМИН,Юник Фармасьютикал Лабораториз
