name_item,href_name,price
"Отолорин капли ушные, 10мл",https://vitaexpress.ru/product/otolorin_kapli_ushnye_10ml/?origin=catalog,220.0
"Cтрепсилс Интенсив таблетки для рассасывания апельсиновый, №24",https://vitaexpress.ru/product/strepsils_intensiv_tab_d_rassas_24_apelsinovyy/?origin=catalog,359.0
"Dr.Pill Горпилс мед-лимон пастилки, №24",https://vitaexpress.ru/product/pastilki_rast_dr_pill_gorpils_med_limon_24_bad/?origin=catalog,224.0
"Dr.Pill Горпилс ментол-эвкалипт пастилки, №24",https://vitaexpress.ru/product/pastilki_rast_dr_pill_gorpils_mentol_evkalipt_24_bad/?origin=catalog,224.0
"Dr.Pill карандаш для ароматерапии 1,3г, №1",https://vitaexpress.ru/product/dr_pill_karandash_dlya_aromaterapii_1_3g_1/?origin=catalog,86.0
"Dr.Pill крем-бальзам массажный с барсучим жиром детский, 50мл",https://vitaexpress.ru/product/pomoshch-samoy-prirody-detskiy-krem-balzam-s-barsuch-zhir-50ml/?origin=catalog,155.0
"Dr.Pill крем детский с эфирными маслами, 50мл",https://vitaexpress.ru/product/krem-detskiy-dr-pill-razogrevayushchiy-s-efirnymi-maslami-50ml/?origin=catalog,155.0
"Dr.Pill Масло спрей эфирное в сезон простуд, 50мл",https://vitaexpress.ru/product/doktor_pill_maslo_sprey_efirnoe_v_sezon_prostud_50_ml/?origin=catalog,336.0
"Dr.Pill масло эфирное в сезон простуд, 10мл",https://vitaexpress.ru/product/doktor_pill_maslo_efirnoe_v_sezon_prostud_10_ml/?origin=catalog,199.0
"Dr.Pill Традиционный бальзам, 4г",https://vitaexpress.ru/product/balzam_traditsionnyy_4g/?origin=catalog,150.0
"Dr. Theiss Анги септ таблетки для рассасывания лимон, №24",https://vitaexpress.ru/product/angi-sept-tab-d-rassas-limon-24/?origin=catalog,200.0
"Dr. Theiss Анги септ таблетки для рассасывания мёд-липа, №24",https://vitaexpress.ru/product/angi-sept-tab-d-rassas-med-lipa-24/?origin=catalog,221.0
