Unnamed: 0,count_index,pars_day,first_name,name_W,name_W_manufact,item_name,name_manufact,item_price,Manufacturer,Manufacturer_common,count_pars,chain_pharm,base_index,chain_index
1321,1495_2023-05-07,2023-05-07,АЦЦ,АЦЦ лонг таблетки шипучие 600мг №20,АЦЦ лонг таблетки шипучие 600мг №20_Салютас,АЦЦ лонг таблетки шипучие 600мг №20,АЦЦ лонг таблетки шипучие 600мг №20_Салютас,489.0,Hexal/Salutas Pharma/ Гексал/ Салютас,Салютас,2,apr,0,1.0124223602484472
325,382_2023-05-07,2023-05-07,Адеметионин,Адеметионин таблетки 400мг №40,Адеметионин таблетки 400мг №40_Велфарм,Адеметионин таблетки 400мг №40,Адеметионин таблетки 400мг №40_Велфарм,2417.0,"ООО ""Велфарм""",Велфарм,2,apr,0,0.9045658682634731
36,78_2023-05-07,2023-05-07,Аджиколд,Аджиколд хотмикс пор. Апельсин пакетики №5,Аджиколд хотмикс пор. Апельсин пакетики №5_Аджио,Аджиколд хотмикс порошок для приготовления раствора для приема внутрь Апельсин пакетики №5,Аджиколд хотмикс порошок для приготовления раствора для приема внутрь Апельсин пакетики №5_Аджио,182.0,Agio Pharmaceuticals/ Аджио,Аджио,2,apr,0,1.0
395,452_2023-05-07,2023-05-07,Адиарин,Адиарин Пробио капли флакон 8г,Адиарин Пробио капли флакон 8г_Ядран Галенски,Адиарин Пробио капли флакон 8г,Адиарин Пробио капли флакон 8г_Ядран Галенски,746.0,Jadran Galenski Laboratoriej d.d/ Ядран Галенски Лабораторий,Ядран Галенски,2,apr,0,0.9973262032085561
1481,1719_2023-05-07,2023-05-07,Адреналина,"Адреналина гидрохлорид раствор для инъекций 0,1% ампулы 1мл №5","Адреналина гидрохлорид раствор для инъекций 0,1% ампулы 1мл №5_Московский эндокринный","Адреналина гидрохлорид раствор для инъекций 0,1% ампулы 1мл №5","Адреналина гидрохлорид раствор для инъекций 0,1% ампулы 1мл №5_Московский эндокринный",93.0,"ФГУП ""Московский эндокринный з-д""",Московский эндокринный,2,apr,0,1.0333333333333334
269,318_2023-05-07,2023-05-07,Аква,Аква марис Беби спрей назальный флакон 150мл,Аква марис Беби спрей назальный флакон 150мл_Ядран Галенски,Аква марис Беби спрей назальный флакон 150мл,Аква марис Беби спрей назальный флакон 150мл_Ядран Галенски,611.0,Jadran Galenski Laboratoriej d.d/ Ядран Галенски Лабораторий,Ядран Галенски,2,apr,0,1.0757042253521127
300,355_2023-05-07,2023-05-07,Аква,Аква марис Беби спрей назальный флакон 50мл,Аква марис Беби спрей назальный флакон 50мл_Ядран Галенски,Аква марис Беби спрей назальный флакон 50мл,Аква марис Беби спрей назальный флакон 50мл_Ядран Галенски,479.0,Jadran Galenski Laboratoriej d.d/ Ядран Галенски Лабораторий,Ядран Галенски,2,apr,0,1.1570048309178744
251,298_2023-05-07,2023-05-07,Аква,Аква марис Норм спрей назальный флакон 150мл,Аква марис Норм спрей назальный флакон 150мл_Ядран Галенски,Аква марис Норм спрей назальный флакон 150мл,Аква марис Норм спрей назальный флакон 150мл_Ядран Галенски,605.0,Jadran Galenski Laboratoriej d.d/ Ядран Галенски Лабораторий,Ядран Галенски,2,apr,0,1.0651408450704225
606,666_2023-05-07,2023-05-07,Аква,Аква марис Норм спрей назальный флакон 50мл,Аква марис Норм спрей назальный флакон 50мл_Ядран Галенски,Аква марис Норм спрей назальный флакон 50мл,Аква марис Норм спрей назальный флакон 50мл_Ядран Галенски,435.0,Jadran Galenski Laboratoriej d.d/ Ядран Галенски Лабораторий,Ядран Галенски,2,apr,0,1.0235294117647058
291,344_2023-05-07,2023-05-07,Аква,Аква марис Плюс спрей назальный флакон 30мл,Аква марис Плюс спрей назальный флакон 30мл_Ядран Галенски,Аква марис Плюс спрей назальный флакон 30мл,Аква марис Плюс спрей назальный флакон 30мл_Ядран Галенски,451.0,Jadran Galenski Laboratoriej d.d/ Ядран Галенски Лабораторий,Ядран Галенски,2,apr,0,1.1218905472636815
278,330_2023-05-07,2023-05-07,Аква,Аква марис Спрей назальный флакон 30мл,Аква марис Спрей назальный флакон 30мл_Ядран Галенски,Аква марис Спрей назальный флакон 30мл,Аква марис Спрей назальный флакон 30мл_Ядран Галенски,399.0,Jadran Galenski Laboratoriej d.d/ Ядран Галенски Лабораторий,Ядран Галенски,2,apr,0,0.9851851851851852
259,307_2023-05-07,2023-05-07,Аква,Аква марис Экстрасильный спрей назальный флакон 150мл,Аква марис Экстрасильный спрей назальный флакон 150мл_Ядран Галенски,Аква марис Экстрасильный спрей назальный флакон 150мл,Аква марис Экстрасильный спрей назальный флакон 150мл_Ядран Галенски,608.0,Jadran Galenski Laboratoriej d.d/ Ядран Галенски Лабораторий,Ядран Галенски,2,apr,0,1.0896057347670252
609,670_2023-05-07,2023-05-07,Аква,Аква марис Эктоин спрей назальный флакон 20мл,Аква марис Эктоин спрей назальный флакон 20мл_Ядран Галенски,Аква марис Эктоин спрей назальный флакон 20мл,Аква марис Эктоин спрей назальный флакон 20мл_Ядран Галенски,708.0,Jadran Galenski Laboratoriej d.d/ Ядран Галенски Лабораторий,Ядран Галенски,2,apr,0,1.1291866028708133
247,293_2023-05-07,2023-05-07,Аквалор,Аквалор Актив софт спрей назальный флакон 150мл,Аквалор Актив софт спрей назальный флакон 150мл_Фармамед,Аквалор Актив софт спрей назальный флакон 150мл,Аквалор Актив софт спрей назальный флакон 150мл_Фармамед,676.0,Pharmamed/West Coast Lab/ Фармамед,Фармамед,2,apr,0,1.0304878048780488
237,283_2023-05-07,2023-05-07,Аквалор,Аквалор Актив форте спрей назальный флакон 150мл,Аквалор Актив форте спрей назальный флакон 150мл_Фармамед,Аквалор Актив форте спрей назальный флакон 150мл,Аквалор Актив форте спрей назальный флакон 150мл_Фармамед,683.0,Pharmamed/West Coast Lab/ Фармамед,Фармамед,2,apr,0,1.034848484848485
228,272_2023-05-07,2023-05-07,Аквалор,Аквалор Беби спрей назальный флакон 150мл,Аквалор Беби спрей назальный флакон 150мл_Фармамед,Аквалор Беби спрей назальный флакон 150мл,Аквалор Беби спрей назальный флакон 150мл_Фармамед,610.0,Pharmamed/West Coast Lab/ Фармамед,Фармамед,2,apr,0,0.993485342019544
1048,1141_2023-05-07,2023-05-07,Аквалор,Аквалор Горло спрей Алоэ вера+Ромашка флакон 150мл,Аквалор Горло спрей Алоэ вера+Ромашка флакон 150мл_Нижфарм,Аквалор Горло спрей Алоэ вера+Ромашка флакон 150мл,Аквалор Горло спрей Алоэ вера+Ромашка флакон 150мл_Нижфарм,655.0,"ОАО ""Нижфарм""",Нижфарм,2,apr,0,0.9689349112426036
1043,1133_2023-05-07,2023-05-07,Аквалор,Аквалор Экстра форте Алоэ и ромашка спрей назальный флакон 150мл,Аквалор Экстра форте Алоэ и ромашка спрей назальный флакон 150мл_Нижфарм,Аквалор Экстра форте Алоэ и ромашка спрей назальный флакон 150мл,Аквалор Экстра форте Алоэ и ромашка спрей назальный флакон 150мл_Нижфарм,684.0,"ОАО ""Нижфарм""",Нижфарм,2,apr,0,1.0014641288433381
1487,1725_2023-05-07,2023-05-07,Актовегин,Актовегин раствор для инъекций 40мг/мл ампулы 10мл №5,Актовегин раствор для инъекций 40мг/мл ампулы 10мл №5_Такеда,Актовегин раствор для инъекций 40мг/мл ампулы 10мл №5,Актовегин раствор для инъекций 40мг/мл ампулы 10мл №5_Такеда,1817.0,"ООО ""Такеда Фармасьютикалс""",Такеда,2,apr,0,1.1737726098191215
1490,1728_2023-05-07,2023-05-07,Актовегин,Актовегин раствор для инъекций 40мг/мл ампулы 2мл №25,Актовегин раствор для инъекций 40мг/мл ампулы 2мл №25_Никомед,Актовегин раствор для инъекций 40мг/мл ампулы 2мл №25,Актовегин раствор для инъекций 40мг/мл ампулы 2мл №25_Никомед,1981.0,Nycomed GmbH/ Никомед,Никомед,2,apr,0,1.0055837563451777
1461,1699_2023-05-07,2023-05-07,Актовегин,Актовегин раствор для инъекций 40мг/мл ампулы 5мл №5,Актовегин раствор для инъекций 40мг/мл ампулы 5мл №5_Такеда,Актовегин раствор для инъекций 40мг/мл ампулы 5мл №5,Актовегин раствор для инъекций 40мг/мл ампулы 5мл №5_Такеда,1037.0,"ООО ""Такеда Фармасьютикалс""",Такеда,2,apr,0,1.2478941034897713
1488,1726_2023-05-07,2023-05-07,Актовегин,Актовегин таблетки 200мг №50,Актовегин таблетки 200мг №50_Такеда,Актовегин таблетки 200мг №50,Актовегин таблетки 200мг №50_Такеда,1836.0,"ООО ""Такеда Фармасьютикалс""",Такеда,2,apr,0,0.9765957446808511
32,74_2023-05-07,2023-05-07,Аленталь,Аленталь крем 50г,Аленталь крем 50г_ВЕРТЕКС,Аленталь крем 50г,Аленталь крем 50г_ВЕРТЕКС,294.0,АО «ВЕРТЕКС»,ВЕРТЕКС,2,apr,0,0.8258426966292135
