Unnamed: 0,count_index,pars_day,first_name,name_W,name_W_manufact,item_name,name_manufact,item_price,Manufacturer,Manufacturer_common,count_pars,chain_pharm,base_index,chain_index
1242,1243_2023-07-04,2023-07-04,Авиа-Море,Авиа-Море таблетки №20,Авиа-Море таблетки №20_Материа Медика,Авиа-Море таб N20 (МатериаМедика),Авиа-Море таб N20 _Материа Медика,156.0,Материа Медика,Материа Медика,3,soc,0,1.0129870129870129
1379,1380_2023-07-04,2023-07-04,Авиамарин,Авиамарин таблетки 50мг №10,Авиамарин таблетки 50мг №10_Оболенское,Авиамарин таб 50мг N10 (Алиум),Авиамарин таб 50мг N10 _Оболенское,158.0,Оболенское ФП,Оболенское,3,soc,0,1.0
1604,1605_2023-07-04,2023-07-04,Агри,Агри детский таблетки №40,Агри детский таблетки №40_Материа Медика,Агри детский таб N40 (МатериаМедика),Агри детский таб N40 _Материа Медика,119.0,Материа Медика,Материа Медика,3,soc,0,1.0
1367,1368_2023-07-04,2023-07-04,Адеметионин,Адеметионин таблетки 400мг №20,Адеметионин таблетки 400мг №20_Велфарм,Адеметионин таб п/пл/о 400мг N20 (Велфарм),Адеметионин таб п/пл/о 400мг N20 _Велфарм,1378.0,Велфарм,Велфарм,3,soc,0,0.9464285714285714
1025,1026_2023-07-04,2023-07-04,АджиКолд,АджиКолд Хотмикс апельсин пак №5,АджиКолд Хотмикс апельсин пак №5_Аджио,АджиКолд Хотмикс апельсин пак N5 (Аджио),АджиКолд Хотмикс апельсин пак N5 _Аджио,199.0,Аджио Фармацевтикалз Лтд,Аджио,3,soc,0,1.0
1490,1491_2023-07-04,2023-07-04,Адиарин,Адиарин регидро саше №10,Адиарин регидро саше №10_Ядран Галенски,Адиарин регидро саше N10 (Ядран),Адиарин регидро саше N10 _Ядран Галенски,383.0,Ядран,Ядран Галенски,3,soc,0,1.0
1489,1490_2023-07-04,2023-07-04,Адисорд,Адисорд капс.200мг №20,Адисорд капс.200мг №20_Канонфарма,Адисорд капс 200мг N20 (Канонфарма),Адисорд капс 200мг N20 _Канонфарма,329.0,Канонфарма,Канонфарма,3,soc,0,1.0
322,323_2023-07-04,2023-07-04,Адреналина,"Адреналина г/хл амп 0,1% 1мл №5","Адреналина г/хл амп 0,1% 1мл №5_Московский эндокринный","Адреналина г/хл амп 0,1% 1мл N5 (Москов ЭЗ)","Адреналина г/хл амп 0,1% 1мл N5 _Московский эндокринный",91.0,Московский эндокринный завод,Московский эндокринный,3,soc,0,1.2816901408450705
1665,1666_2023-07-04,2023-07-04,Аира,Аира корневища 50г,Аира корневища 50г_Роза-Фитофарм,Аира корневища 50г (Фитофарм),Аира корневища 50г _Роза-Фитофарм,37.0,Фитофарм,Роза-Фитофарм,3,soc,0,1.0
1671,1672_2023-07-04,2023-07-04,Аира,Аира корневища 75г,Аира корневища 75г_Красногорсклексредства,Аира корневища 75г (Европлант),Аира корневища 75г _Красногорсклексредства,81.0,Красногорсклексредства,Красногорсклексредства,3,soc,0,1.0
831,832_2023-07-04,2023-07-04,Аква-Марис,Аква-Марис Экстрасильный спрей 150мл,Аква-Марис Экстрасильный спрей 150мл_Ядран Галенски,Аква-Марис Экстрасильный спрей 150мл (Ядран),Аква-Марис Экстрасильный спрей 150мл _Ядран Галенски,417.0,"JADRAN-GALENSKI LABORATORIJ d.d., ЯДРАН ООО",Ядран Галенски,3,soc,0,1.0
832,833_2023-07-04,2023-07-04,Аквалор,Аквалор Актив софт ср-во 150мл,Аквалор Актив софт ср-во 150мл_Нижфарм,Аквалор Актив софт ср-во 150мл (Нижфарм),Аквалор Актив софт ср-во 150мл _Нижфарм,558.0,Нижфарм,Нижфарм,3,soc,0,0.9876106194690265
834,835_2023-07-04,2023-07-04,Аквалор,Аквалор Актив форте мини 50мл,Аквалор Актив форте мини 50мл_None,Аквалор Актив форте мини 50мл (Нижфарм),Аквалор Актив форте мини 50мл _None,461.0,,,3,soc,0,1.392749244712991
833,834_2023-07-04,2023-07-04,Аквалор,Аквалор Актив форте ср-во 150мл,Аквалор Актив форте ср-во 150мл_None,Аквалор Актив форте ср-во 150мл (Нижфарм),Аквалор Актив форте ср-во 150мл _None,585.0,,,3,soc,0,1.3058035714285714
1233,1234_2023-07-04,2023-07-04,Аленталь,"Аленталь крем 1,5% 50г","Аленталь крем 1,5% 50г_Вертекс","Аленталь крем 1,5% 50г (Вертекс)","Аленталь крем 1,5% 50г _Вертекс",342.0,Вертекс,Вертекс,3,soc,0,1.0
926,927_2023-07-04,2023-07-04,Аленталь,Аленталь таблетки 100мг №20,Аленталь таблетки 100мг №20_Вертекс,Аленталь таб п/пл/о 100мг N20 (Вертекс),Аленталь таб п/пл/о 100мг N20 _Вертекс,425.0,Вертекс,Вертекс,3,soc,0,1.0
964,965_2023-07-04,2023-07-04,Аленталь,Аленталь таблетки 100мг №60,Аленталь таблетки 100мг №60_Вертекс,Аленталь таб п/пл/о 100мг N60 (Вертекс),Аленталь таб п/пл/о 100мг N60 _Вертекс,836.0,Вертекс,Вертекс,3,soc,0,1.0
19,20_2023-07-04,2023-07-04,Алесорб,Алесорб 3+ Энтеросорбент пор 25г №1,Алесорб 3+ Энтеросорбент пор 25г №1_Фарм Фабрика,Алесорб 3+ Энтеросорбент пор 25г N1 (Фарм фабрика),Алесорб 3+ Энтеросорбент пор 25г N1 _Фарм Фабрика,259.0,Фарм Фабрика,Фарм Фабрика,3,soc,0,1.0
20,21_2023-07-04,2023-07-04,Алесорб,Алесорб Энтеросорбент гель 180г,Алесорб Энтеросорбент гель 180г_None,Алесорб Энтеросорбент гель 180г (Фармацевтическая фабрика),Алесорб Энтеросорбент гель 180г _None,325.0,,,3,soc,0,1.0
135,136_2023-07-04,2023-07-04,Аллапинин,Аллапинин таблетки 25мг №30,Аллапинин таблетки 25мг №30_ВИЛАР,Аллапинин таб 25мг N30 (Вилар),Аллапинин таб 25мг N30 _ВИЛАР,595.0,ФАРМЦЕНТР ВИЛАР АО,ВИЛАР,3,soc,0,1.0
1320,1321_2023-07-04,2023-07-04,Аллохол,Аллохол таблетки №50,Аллохол таблетки №50_Обновление,Аллохол таб п/пл/о N50 (Обновление),Аллохол таб п/пл/о N50 _Обновление,137.0,Обновление ПФК,Обновление,3,soc,0,1.0
1263,1264_2023-07-04,2023-07-04,Аллохол,Аллохол таблетки №50,Аллохол таблетки №50_Фармстандарт,Аллохол таб N50 (Фармстандарт МНН),Аллохол таб N50 _Фармстандарт,77.0,Фармстандарт-Томск,Фармстандарт,3,soc,0,1.0
1556,1557_2023-07-04,2023-07-04,Алмагель,Алмагель А сусп 170мл,Алмагель А сусп 170мл_Балканфарма,Алмагель А сусп 170мл (Тева),Алмагель А сусп 170мл _Балканфарма,358.0,Балканфарма,Балканфарма,3,soc,0,1.0529411764705883
1616,1617_2023-07-04,2023-07-04,Алмагель,Алмагель А сусп пакет 10мл №10,Алмагель А сусп пакет 10мл №10_Балканфарма,Алмагель А сусп пакет 10мл N10 (Тева),Алмагель А сусп пакет 10мл N10 _Балканфарма,342.0,Балканфарма,Балканфарма,3,soc,0,1.0058823529411764
1580,1581_2023-07-04,2023-07-04,Алмагель,Алмагель Нео пакет 10мл №10,Алмагель Нео пакет 10мл №10_Балканфарма,Алмагель Нео пакет 10мл N10 (Тева),Алмагель Нео пакет 10мл N10 _Балканфарма,287.0,Балканфарма,Балканфарма,3,soc,0,1.0
1629,1630_2023-07-04,2023-07-04,Алмагель,Алмагель Нео сусп 170мл,Алмагель Нео сусп 170мл_Балканфарма,Алмагель Нео сусп 170мл (Тева),Алмагель Нео сусп 170мл _Балканфарма,323.0,Балканфарма,Балканфарма,3,soc,0,1.0352564102564104
1562,1563_2023-07-04,2023-07-04,Алмагель,Алмагель сусп 170мл,Алмагель сусп 170мл_Балканфарма,Алмагель сусп 170мл (Тева),Алмагель сусп 170мл _Балканфарма,293.0,Балканфарма,Балканфарма,3,soc,0,1.0
1617,1618_2023-07-04,2023-07-04,Алмагель,Алмагель сусп пакет 10мл №10,Алмагель сусп пакет 10мл №10_Балканфарма,Алмагель сусп пакет 10мл N10 (Тева),Алмагель сусп пакет 10мл N10 _Балканфарма,309.0,Балканфарма,Балканфарма,3,soc,0,1.1236363636363635
1628,1629_2023-07-04,2023-07-04,Алоэ,Алоэ сок 50мл,Алоэ сок 50мл_Вифитех,Алоэ сок 50мл (Вифитех),Алоэ сок 50мл _Вифитех,82.0,Вифитех ТОО,Вифитех,3,soc,0,1.0512820512820513
1278,1279_2023-07-04,2023-07-04,Алоэ,Алоэ экстракт амп 1% 1мл №10,Алоэ экстракт амп 1% 1мл №10_Ереванская ХФФ,Алоэ экстракт амп 1% 1мл N10 (СтатусФарм),Алоэ экстракт амп 1% 1мл N10 _Ереванская ХФФ,81.0,Ереванская ХФФ,Ереванская ХФФ,3,soc,0,0.8709677419354839
256,257_2023-07-04,2023-07-04,Альбарел,Альбарел таблетки 1мг №30,Альбарел таблетки 1мг №30_Эгис,Альбарел таб 1мг N30 (Эгис),Альбарел таб 1мг N30 _Эгис,1070.0,Эгис,Эгис,3,soc,0,1.0
1554,1555_2023-07-04,2023-07-04,Альфазокс,Альфазокс р-р д/приема внутрь саше 10мл №20,Альфазокс р-р д/приема внутрь саше 10мл №20_Альфасигма,Альфазокс р-р д/приема внутрь саше 10мл N20 (Альфасигма),Альфазокс р-р д/приема внутрь саше 10мл N20 _Альфасигма,1243.0,Альфасигма,Альфасигма,3,soc,0,0.9214232765011119
899,900_2023-07-04,2023-07-04,Амбробене,Амбробене Стоптуссин таблетки 4мг+100мг №20,Амбробене Стоптуссин таблетки 4мг+100мг №20_Тева,Амбробене Стоптуссин таб 4мг+100мг N20 (Тева),Амбробене Стоптуссин таб 4мг+100мг N20 _Тева,286.0,Тева,Тева,3,soc,0,1.079245283018868
898,899_2023-07-04,2023-07-04,Амброксол,"Амброксол Вертекс р-р д/инг и прием внутрь 7,5мг/мл 100мл","Амброксол Вертекс р-р д/инг и прием внутрь 7,5мг/мл 100мл_None","Амброксол Вертекс р-р д/инг и прием внутрь 7,5мг/мл 100мл (Вертекс)","Амброксол Вертекс р-р д/инг и прием внутрь 7,5мг/мл 100мл _None",195.0,,,3,soc,0,1.0
