Unnamed: 0,count_index,pars_day,first_name,name_W,name_W_manufact,item_name,name_manufact,item_price,Manufacturer,Manufacturer_common,count_pars,chain_pharm,base_index,chain_index
1010,1011_2023-05-30,2023-05-30,Авиамарин,Авиамарин таблетки 50мг №10,Авиамарин таблетки 50мг №10_Оболенское,Авиамарин таб. 50мг №10,Авиамарин таб. 50мг №10_Оболенское,192.0,Оболенское ФП АО,Оболенское,2,zdor,0,0.9846153846153847
305,306_2023-05-30,2023-05-30,Адонис-бром,Адонис-бром таблетки   №20,Адонис-бром таблетки   №20_Вифитех,Адонис-бром таб. п.о №20,Адонис-бром таб. п.о №20_Вифитех,184.0,Вифитех ЗАО,Вифитех,2,zdor,0,0.9533678756476683
306,307_2023-05-30,2023-05-30,Адреналин,Адреналин р-р д/ин. 1мг/мл 1мл №5,Адреналин р-р д/ин. 1мг/мл 1мл №5_None,Адреналин р-р д/ин. 1мг/мл 1мл №5,Адреналин р-р д/ин. 1мг/мл 1мл №5_None,81.0,,,2,zdor,0,0.9759036144578314
1483,1484_2023-05-30,2023-05-30,Адреналин-СОЛОфарм,Адреналин-СОЛОфарм р-р д/ин. 1мг/мл 1мл №5,Адреналин-СОЛОфарм р-р д/ин. 1мг/мл 1мл №5_Гротекс,Адреналин-СОЛОфарм р-р д/ин. 1мг/мл 1мл №5,Адреналин-СОЛОфарм р-р д/ин. 1мг/мл 1мл №5_Гротекс,66.0,Гротекс ООО,Гротекс,2,zdor,0,1.0
660,661_2023-05-30,2023-05-30,Акриол,Акриол про крем 5г №1,Акриол про крем 5г №1_Акрихин,Акриол про крем 5г №1,Акриол про крем 5г №1_Акрихин,292.0,Акрихин ХФК ОАО,Акрихин,2,zdor,0,0.9700996677740864
124,125_2023-05-30,2023-05-30,Актовегин,Актовегин р-р д/ин. 40мг/мл 10мл №5,Актовегин р-р д/ин. 40мг/мл 10мл №5_Такеда,Актовегин р-р д/ин. 40мг/мл 10мл №5,Актовегин р-р д/ин. 40мг/мл 10мл №5_Такеда,1.0,Такеда Фармасьютикалс ООО,Такеда,2,zdor,0,1.0
123,124_2023-05-30,2023-05-30,Актовегин,Актовегин р-р д/ин. 40мг/мл 2мл №25,Актовегин р-р д/ин. 40мг/мл 2мл №25_Такеда,Актовегин р-р д/ин. 40мг/мл 2мл №25,Актовегин р-р д/ин. 40мг/мл 2мл №25_Такеда,1.0,Такеда Фармасьютикалс ООО,Такеда,2,zdor,0,1.0
689,690_2023-05-30,2023-05-30,Алка-Зельтцер,Алка-Зельтцер таблетки шип. №10,Алка-Зельтцер таблетки шип. №10_Байер,Алка-Зельтцер таб. шип. №10,Алка-Зельтцер таб. шип. №10_Байер,550.0,Байер Биттерфельд ГмбХ,Байер,2,zdor,0,0.9892086330935251
1020,1021_2023-05-30,2023-05-30,Аллохол,Аллохол Реневал таблетки №50,Аллохол Реневал таблетки №50_Обновление,Аллохол Реневал таб. п.п.о. №50,Аллохол Реневал таб. п.п.о. №50_Обновление,129.0,Обновление ПФК АО,Обновление,2,zdor,0,0.9626865671641791
1238,1239_2023-05-30,2023-05-30,Аллохол,Аллохол таблетки   №10,Аллохол таблетки   №10_Вифитех,Аллохол таб. п.о №10,Аллохол таб. п.о №10_Вифитех,19.0,Вифитех ЗАО,Вифитех,2,zdor,0,1.0
1170,1171_2023-05-30,2023-05-30,Аллохол,Аллохол таблетки   №50,Аллохол таблетки   №50_Вифитех,Аллохол таб. п.о №50,Аллохол таб. п.о №50_Вифитех,81.0,Вифитех ЗАО,Вифитех,2,zdor,0,1.3064516129032258
